% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.047	1	3	5	8	2	8	209	0	0	0
0.059	1	3	6	10	2	8	209	0	0	0
0.074	1	3	8	5	2	8	241	0	0	0
0.086	1	3	9	7	2	8	421	0	0	0
0.096	1	3	10	7	2	8	421	0	0	0
0.107	1	3	11	8	2	8	421	0	0	0
0.118	1	3	12	9	2	8	421	0	0	0
0.128	1	3	13	9	2	8	421	0	0	0
0.139	1	3	14	10	2	8	421	0	0	0
0.15	1	3	16	1	2	8	421	0	0	0
0.159	1	3	16	10	2	8	421	0	0	0
0.168	1	3	17	9	2	8	421	0	0	0
0.177	1	3	18	8	2	8	421	0	0	0
0.186	1	3	19	7	2	8	389	0	0	0
0.195	1	3	20	6	2	8	389	0	0	0
0.204	1	3	21	5	2	8	349	0	0	0
0.213	1	3	22	4	2	8	421	0	0	0
0.222	1	3	23	3	2	8	389	0	0	0
0.231	1	3	24	2	2	8	389	0	0	0
0.24	1	3	25	1	2	8	349	0	0	0
0.249	1	3	25	10	2	8	421	0	0	0
0.258	1	3	26	9	2	8	389	0	0	0
0.267	1	3	27	8	2	8	349	0	0	0
0.276	1	3	28	7	2	8	421	0	0	0
0.285	1	3	29	6	2	8	389	0	0	0
0.294	1	3	30	5	2	8	389	0	0	0
0.303	1	3	31	4	2	8	349	0	0	0
0.312	1	3	32	3	2	8	389	0	0	0
0.321	1	3	33	2	2	8	421	0	0	0
0.33	1	3	34	1	2	8	349	0	0	0
0.339	1	3	34	10	2	8	389	0	0	0
0.348	1	3	35	9	2	8	389	0	0	0
0.357	1	3	36	8	2	8	421	0	0	0
0.366	1	3	37	7	2	8	349	0	0	0
0.375	1	3	38	6	2	8	421	0	0	0
0.384	1	3	39	5	2	8	349	0	0	0
0.393	1	3	40	4	2	8	389	0	0	0
0.402	1	3	41	3	2	8	389	0	0	0
0.411	1	3	42	2	2	8	421	0	0	0
0.42	1	3	43	1	2	8	349	0	0	0
0.429	1	3	43	10	2	8	389	0	0	0
0.438	1	3	44	9	2	8	389	0	0	0
0.447	1	3	45	8	2	8	389	0	0	0
0.456	1	3	46	7	2	8	389	0	0	0
0.465	1	3	47	6	2	8	349	0	0	0
0.474	1	3	48	5	2	8	389	0	0	0
0.483	1	3	49	4	2	8	389	0	0	0
0.492	1	3	50	3	2	8	389	0	0	0
0.501	1	3	51	2	2	8	389	0	0	0
0.51	1	3	52	1	2	8	389	0	0	0
0.519	1	3	52	10	2	8	389	0	0	0
0.528	1	3	53	9	2	8	389	0	0	0
0.537	1	3	54	8	2	8	349	0	0	0
0.546	1	3	55	7	2	8	389	0	0	0
0.555	1	3	56	6	2	8	421	0	0	0
0.564	1	3	57	5	2	8	389	0	0	0
0.573	1	3	58	4	2	8	349	0	0	0
0.582	1	3	59	3	2	8	421	0	0	0
0.591	1	3	60	2	2	8	349	0	0	0
0.6	1	3	61	1	2	8	349	0	0	0
0.609	1	3	61	10	2	8	421	0	0	0
0.618	1	3	62	9	2	8	389	0	0	0
0.627	1	3	63	8	2	8	349	0	0	0
0.636	1	3	64	7	2	8	421	0	0	0
0.645	1	3	65	6	2	8	349	0	0	0
0.654	1	3	66	5	2	8	389	0	0	0
0.663	1	3	67	4	2	8	389	0	0	0
0.672	1	3	68	3	2	8	389	0	0	0
0.681	1	3	69	2	2	8	389	0	0	0
0.69	1	3	70	1	2	8	349	0	0	0
