% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0.037	0.038	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.038	0.039	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.039	0.04	1	1	12	3	0	0	1	0.000493	0.003	0	0.003	0.003	517	0	517	517	
0.04	0.041	1	1	12	3	0	0	1	0.000241	0.003	0	0.003	0.003	253	0	253	253	
0.041	0.042	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.042	0.043	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.043	0.044	1	1	12	3	1	193	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.044	0.045	1	1	12	3	1	193	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.045	0.046	1	1	12	3	1	253	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.046	0.047	1	1	12	3	1	193	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.047	0.048	1	1	12	3	1	193	1	0.000241	0.003	0	0.003	0.003	253	0	253	253	
0.048	0.049	1	1	12	3	1	193	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.049	0.05	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.05	0.051	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.051	0.052	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.052	0.053	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.053	0.054	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.054	0.055	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.055	0.056	1	1	12	3	1	193	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.056	0.057	1	1	12	3	0	0	1	0.000241	0.003	0	0.003	0.003	253	0	253	253	
0.057	0.058	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.058	0.059	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.059	0.06	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.06	0.061	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.061	0.062	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.062	0.063	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.063	0.064	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.064	0.065	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.065	0.066	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.066	0.067	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.067	0.068	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.068	0.069	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.069	0.07	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.07	0.071	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.071	0.072	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.072	0.073	1	1	12	3	0	0	1	0.000241	0.003	0	0.003	0.003	253	0	253	253	
0.073	0.074	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.074	0.075	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.075	0.076	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.076	0.077	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.077	0.078	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.078	0.079	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.079	0.08	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.08	0.081	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
0.081	0.082	1	1	12	3	0	0	1	0.000184	0.003	0	0.003	0.003	193	0	193	193	
0.082	0.083	1	1	12	3	0	0	0	0.000000	0	0	0	0	0	0	0	0	
