% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	6	3	2	1	0	19	0	0	0
0.021	1	3	3	2	2	0	19	0	0	0
0.021	1	4	3	2	3	0	19	0	0	0
0.021	1	9	3	2	4	0	19	0	0	0
0.022	1	6	3	3	1	0	19	0	0	0
0.022	1	3	3	3	2	0	19	0	0	0
0.022	1	4	3	3	3	0	19	0	0	0
0.022	1	9	3	3	4	0	19	0	0	0
0.023	1	6	3	4	1	0	19	0	0	0
0.023	1	3	3	4	2	0	19	0	0	0
0.023	1	4	3	4	3	0	19	0	0	0
0.023	1	9	3	4	4	0	19	0	0	0
0.024	1	6	3	5	1	0	19	0	0	0
0.024	1	3	3	5	2	0	19	0	0	0
0.024	1	4	3	5	3	0	19	0	0	0
0.024	1	9	3	5	4	0	19	0	0	0
0.025	1	6	3	6	1	0	19	0	0	0
0.025	1	3	3	6	2	0	19	0	0	0
0.025	1	4	3	6	3	0	19	0	0	0
0.025	1	9	3	6	4	0	19	0	0	0
0.026	1	12	3	7	12	0	4	0	0	0
0.026	1	2	3	7	13	0	4	0	0	0
0.026	1	10	3	7	14	0	4	0	0	0
0.026	1	13	3	7	15	0	4	0	0	0
0.026	1	6	3	7	1	20	97	0	0	0
0.026	1	3	3	7	2	22	113	0	0	0
0.026	1	4	3	7	3	22	113	0	0	0
0.026	1	9	3	7	4	18	79	0	0	0
0.027	1	2	3	8	13	0	4	0	0	0
0.027	1	10	3	8	14	0	4	0	0	0
0.027	1	13	3	8	15	0	4	0	0	0
0.027	1	6	3	8	1	20	97	0	0	0
0.027	1	3	3	8	2	22	113	0	0	0
0.027	1	4	3	8	3	22	113	0	0	0
0.027	1	9	3	8	4	18	79	0	0	0
0.027	1	12	3	8	12	0	4	0	0	0
0.028	1	10	3	9	14	0	4	0	0	0
0.028	1	13	3	9	15	0	4	0	0	0
0.028	1	6	3	9	1	20	97	0	0	0
0.028	1	3	3	9	2	22	113	0	0	0
0.028	1	4	3	9	3	22	113	0	0	0
0.028	1	9	3	9	4	18	79	0	0	0
0.028	1	12	3	9	12	0	4	0	0	0
0.028	1	2	3	9	13	0	4	0	0	0
0.029	1	13	3	10	15	0	4	0	0	0
0.029	1	6	3	10	1	20	97	0	0	0
0.029	1	3	3	10	2	22	113	0	0	0
0.029	1	4	3	10	3	22	113	0	0	0
0.029	1	9	3	10	4	18	79	0	0	0
0.029	1	12	3	10	12	0	4	0	0	0
0.029	1	2	3	10	13	0	4	0	0	0
0.029	1	10	3	10	14	0	4	0	0	0
0.03	1	6	4	1	1	20	97	0	0	0
0.03	1	3	4	1	2	22	113	0	0	0
0.03	1	4	4	1	3	22	113	0	0	0
0.03	1	9	4	1	4	18	79	0	0	0
0.03	1	12	4	1	12	0	4	0	0	0
0.03	1	2	4	1	13	0	4	0	0	0
0.03	1	10	4	1	14	0	4	0	0	0
0.03	1	13	4	1	15	0	4	0	0	0
0.031	1	3	4	2	2	22	113	0	0	0
0.031	1	4	4	2	3	22	113	0	0	0
0.031	1	9	4	2	4	18	79	0	0	0
0.031	1	12	4	2	12	16	75	0	0	0
0.031	1	2	4	2	13	22	113	0	0	0
0.031	1	10	4	2	14	18	79	0	0	0
0.031	1	13	4	2	15	16	75	0	0	0
0.031	1	6	4	2	1	20	97	0	0	0
0.032	1	4	4	3	3	22	113	0	0	0
0.032	1	9	4	3	4	18	79	0	0	0
0.032	1	12	4	3	12	16	75	0	0	0
0.032	1	2	4	3	13	22	113	0	0	0
0.032	1	10	4	3	14	18	79	0	0	0
0.032	1	13	4	3	15	16	75	0	0	0
0.032	1	15	4	3	19	0	4	0	0	0
0.032	1	1	4	3	20	0	4	0	0	0
0.032	1	7	4	3	21	0	4	0	0	0
0.032	1	14	4	3	22	0	4	0	0	0
0.032	1	6	4	3	1	20	97	0	0	0
0.032	1	3	4	3	2	22	113	0	0	0
0.033	1	4	4	4	3	22	113	0	0	0
0.033	1	9	4	4	4	18	79	0	0	0
0.033	1	12	4	4	12	16	75	0	0	0
0.033	1	2	4	4	13	22	113	0	0	0
0.033	1	10	4	4	14	18	79	0	0	0
0.033	1	13	4	4	15	16	75	0	0	0
0.033	1	15	4	4	19	0	4	0	0	0
0.033	1	1	4	4	20	0	4	0	0	0
0.033	1	7	4	4	21	0	4	0	0	0
0.033	1	14	4	4	22	0	4	0	0	0
0.033	1	6	4	4	1	20	97	0	0	0
0.033	1	3	4	4	2	22	113	0	0	0
0.034	1	4	4	5	3	22	113	0	0	0
0.034	1	9	4	5	4	18	79	0	0	0
0.034	1	12	4	5	12	16	75	0	0	0
0.034	1	2	4	5	13	22	113	0	0	0
0.034	1	10	4	5	14	18	79	0	0	0
