% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.038	1	11	4	9	25	0	4	0	0	0
0.04	1	11	5	1	25	0	4	0	0	0
0.041	1	11	5	2	25	0	4	0	0	0
0.042	1	11	5	3	25	0	4	0	0	0
0.043	1	11	5	4	25	18	79	0	0	0
0.045	1	11	5	6	25	18	79	0	0	0
0.046	1	11	5	7	25	18	79	0	0	0
0.047	1	11	5	8	25	18	79	0	0	0
0.048	1	11	5	9	25	18	79	0	0	0
0.05	1	11	6	1	25	18	79	0	0	0
0.051	1	11	6	2	25	18	79	0	0	0
0.052	1	11	6	3	25	18	79	0	0	0
0.053	1	11	6	4	25	18	79	0	0	0
0.055	1	11	6	6	25	18	79	0	0	0
0.056	1	11	6	7	25	18	79	0	0	0
0.057	1	11	6	8	25	18	79	0	0	0
0.058	1	11	6	9	25	18	79	0	0	0
0.06	1	11	7	1	25	18	79	0	0	0
0.061	1	11	7	2	25	18	79	0	0	0
0.062	1	11	7	3	25	18	79	0	0	0
0.063	1	11	7	4	25	18	79	0	0	0
0.065	1	11	7	6	25	18	79	0	0	0
0.066	1	11	7	7	25	18	79	0	0	0
0.067	1	11	7	8	25	18	79	0	0	0
0.068	1	11	7	9	25	18	79	0	0	0
0.07	1	11	8	1	25	18	79	0	0	0
0.071	1	11	8	2	25	18	79	0	0	0
0.072	1	11	8	3	25	18	79	0	0	0
0.073	1	11	8	4	25	18	79	0	0	0
0.075	1	11	8	6	25	18	79	0	0	0
0.076	1	11	8	7	25	18	79	0	0	0
0.077	1	11	8	8	25	18	79	0	0	0
0.078	1	11	8	9	25	18	79	0	0	0
0.08	1	11	9	1	25	18	79	0	0	0
0.081	1	11	9	2	25	18	79	0	0	0
0.082	1	11	9	3	25	18	79	0	0	0
0.083	1	11	9	4	25	18	79	0	0	0
0.085	1	11	9	6	25	18	79	0	0	0
0.086	1	11	9	7	25	18	79	0	0	0
0.087	1	11	9	8	25	18	79	0	0	0
0.088	1	11	9	9	25	18	79	0	0	0
0.09	1	11	10	1	25	18	79	0	0	0
0.091	1	11	10	2	25	18	79	0	0	0
0.092	1	11	10	3	25	18	79	0	0	0
0.093	1	11	10	4	25	18	79	0	0	0
0.095	1	11	10	6	25	18	79	0	0	0
0.096	1	11	10	7	25	18	79	0	0	0
0.097	1	11	10	8	25	18	79	0	0	0
0.098	1	11	10	9	25	18	79	0	0	0
0.1	1	11	11	1	25	18	79	0	0	0
0.101	1	11	11	2	25	18	79	0	0	0
0.102	1	11	11	3	25	18	79	0	0	0
0.103	1	11	11	4	25	18	79	0	0	0
0.105	1	11	11	6	25	18	79	0	0	0
0.106	1	11	11	7	25	18	79	0	0	0
0.107	1	11	11	8	25	18	79	0	0	0
0.108	1	11	11	9	25	18	79	0	0	0
0.11	1	11	12	1	25	18	79	0	0	0
0.111	1	11	12	2	25	18	79	0	0	0
0.112	1	11	12	3	25	18	79	0	0	0
0.113	1	11	12	4	25	18	79	0	0	0
0.115	1	11	12	6	25	18	79	0	0	0
0.116	1	11	12	7	25	18	79	0	0	0
0.117	1	11	12	8	25	18	79	0	0	0
0.118	1	11	12	9	25	18	79	0	0	0
0.12	1	11	13	1	25	18	79	0	0	0
0.121	1	11	13	2	25	18	79	0	0	0
0.122	1	11	13	3	25	18	79	0	0	0
0.123	1	11	13	4	25	18	79	0	0	0
0.125	1	11	13	6	25	18	79	0	0	0
0.126	1	11	13	7	25	18	79	0	0	0
0.127	1	11	13	8	25	18	79	0	0	0
0.128	1	11	13	9	25	18	79	0	0	0
0.13	1	11	14	1	25	18	79	0	0	0
0.131	1	11	14	2	25	18	79	0	0	0
0.132	1	11	14	3	25	18	79	0	0	0
0.133	1	11	14	4	25	18	79	0	0	0
0.135	1	11	14	6	25	18	79	0	0	0
0.136	1	11	14	7	25	18	79	0	0	0
0.137	1	11	14	8	25	18	79	0	0	0
0.138	1	11	14	9	25	18	79	0	0	0
0.14	1	11	15	1	25	18	79	0	0	0
0.141	1	11	15	2	25	18	79	0	0	0
0.142	1	11	15	3	25	18	79	0	0	0
0.143	1	11	15	4	25	18	79	0	0	0
0.145	1	11	15	6	25	18	79	0	0	0
0.146	1	11	15	7	25	18	79	0	0	0
0.147	1	11	15	8	25	18	79	0	0	0
0.148	1	11	15	9	25	18	79	0	0	0
0.15	1	11	16	1	25	18	79	0	0	0
