% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	6	3	7	1	0	19	0
0.026	1	3	3	7	2	0	19	0
0.026	1	4	3	7	3	0	19	0
0.026	1	9	3	7	4	0	19	0
0.027	1	6	3	8	1	0	19	0
0.027	1	3	3	8	2	0	19	0
0.027	1	4	3	8	3	0	19	0
0.027	1	9	3	8	4	0	19	0
0.028	1	6	3	9	1	0	19	0
0.028	1	3	3	9	2	0	19	0
0.028	1	4	3	9	3	0	19	0
0.028	1	9	3	9	4	0	19	0
0.03	1	6	4	1	1	0	19	0
0.03	1	3	4	1	2	0	19	0
0.03	1	4	4	1	3	0	19	0
0.03	1	9	4	1	4	0	19	0
0.031	1	6	4	2	1	0	7	0
0.031	1	3	4	2	2	0	7	0
0.031	1	4	4	2	3	0	7	0
0.031	1	9	4	2	4	0	7	0
0.031	1	12	4	2	12	0	7	0
0.031	1	2	4	2	13	0	7	0
0.031	1	10	4	2	14	0	7	0
0.031	1	13	4	2	15	0	7	0
0.032	1	6	4	3	1	0	7	0
0.032	1	3	4	3	2	0	7	0
0.032	1	4	4	3	3	0	7	0
0.032	1	9	4	3	4	0	7	0
0.032	1	12	4	3	12	0	7	0
0.032	1	2	4	3	13	0	7	0
0.032	1	10	4	3	14	0	7	0
0.032	1	13	4	3	15	0	7	0
0.033	1	6	4	4	1	0	7	0
0.033	1	3	4	4	2	0	7	0
0.033	1	4	4	4	3	0	7	0
0.033	1	9	4	4	4	0	7	0
0.033	1	12	4	4	12	0	7	0
0.033	1	2	4	4	13	0	7	0
0.033	1	10	4	4	14	0	7	0
0.033	1	13	4	4	15	0	7	0
0.034	1	6	4	5	1	0	7	0
0.034	1	3	4	5	2	0	7	0
0.034	1	4	4	5	3	0	7	0
0.034	1	9	4	5	4	0	7	0
0.034	1	12	4	5	12	0	7	0
0.034	1	2	4	5	13	0	7	0
0.034	1	10	4	5	14	0	7	0
0.034	1	13	4	5	15	0	7	0
0.035	1	6	4	6	1	0	7	0
0.035	1	3	4	6	2	0	7	0
0.036	1	4	4	7	3	0	7	0
0.036	1	9	4	7	4	0	7	0
0.036	1	12	4	7	12	0	7	0
0.036	1	2	4	7	13	0	7	0
0.036	1	10	4	7	14	0	7	0
0.036	1	13	4	7	15	0	7	0
0.036	1	6	4	7	1	0	7	0
0.036	1	3	4	7	2	0	7	0
0.037	1	4	4	8	3	0	7	0
0.037	1	9	4	8	4	0	7	0
0.037	1	12	4	8	12	0	7	0
0.037	1	2	4	8	13	0	7	0
0.037	1	10	4	8	14	0	7	0
0.037	1	13	4	8	15	0	7	0
0.037	1	15	4	8	19	0	7	0
0.037	1	1	4	8	20	0	7	0
0.038	1	7	4	9	21	0	7	0
0.038	1	14	4	9	22	0	7	0
0.038	1	6	4	9	1	0	7	0
0.038	1	3	4	9	2	0	7	0
0.038	1	4	4	9	3	0	7	0
0.038	1	9	4	9	4	0	7	0
0.038	1	12	4	9	12	0	7	0
0.038	1	2	4	9	13	0	7	0
0.039	1	10	4	10	14	0	7	0
0.039	1	13	4	10	15	0	7	0
0.039	1	15	4	10	19	0	7	0
0.039	1	1	4	10	20	0	7	0
0.039	1	7	4	10	21	0	7	0
0.039	1	14	4	10	22	0	7	0
0.039	1	6	4	10	1	0	7	0
0.039	1	3	4	10	2	0	7	0
0.04	1	4	5	1	3	0	7	0
0.04	1	9	5	1	4	0	7	0
0.04	1	12	5	1	12	0	7	0
0.04	1	2	5	1	13	0	7	0
0.04	1	10	5	1	14	0	7	0
0.04	1	13	5	1	15	0	7	0
0.04	1	15	5	1	19	0	7	0
0.04	1	1	5	1	20	0	7	0
0.041	1	7	5	2	21	0	7	0
0.041	1	14	5	2	22	0	7	0
0.041	1	6	5	2	1	12	73	0
0.041	1	3	5	2	2	0	7	0
0.041	1	4	5	2	3	0	7	0
0.041	1	9	5	2	4	0	7	0
0.041	1	12	5	2	12	0	7	0
0.041	1	2	5	2	13	0	7	0
0.042	1	10	5	3	14	0	7	0
0.042	1	13	5	3	15	0	7	0
0.042	1	15	5	3	19	0	7	0
0.042	1	1	5	3	20	0	7	0
0.042	1	7	5	3	21	0	7	0
0.042	1	14	5	3	22	0	7	0
0.042	1	6	5	3	1	12	73	0
0.042	1	3	5	3	2	14	93	0
0.043	1	4	5	4	3	14	93	0
0.043	1	9	5	4	4	0	7	0
0.043	1	12	5	4	12	0	7	0
0.043	1	2	5	4	13	0	7	0
0.043	1	10	5	4	14	0	7	0
0.043	1	13	5	4	15	0	7	0
0.043	1	15	5	4	19	0	7	0
0.043	1	1	5	4	20	0	7	0
0.044	1	7	5	5	21	0	7	0
0.044	1	14	5	5	22	0	7	0
0.044	1	5	5	5	24	0	7	0
0.044	1	11	5	5	25	0	7	0
0.044	1	8	5	5	26	0	7	0
0.044	1	6	5	5	1	12	73	0
0.044	1	3	5	5	2	14	93	0
0.044	1	4	5	5	3	14	93	0
0.045	1	9	5	6	4	12	73	0
0.045	1	12	5	6	12	0	7	0
0.045	1	2	5	6	13	0	7	0
0.045	1	10	5	6	14	0	7	0
0.045	1	13	5	6	15	0	7	0
0.045	1	15	5	6	19	0	7	0
0.045	1	1	5	6	20	0	7	0
0.045	1	7	5	6	21	0	7	0
0.046	1	14	5	7	22	0	7	0
0.046	1	5	5	7	24	0	7	0
0.046	1	11	5	7	25	0	7	0
0.046	1	8	5	7	26	0	7	0
0.046	1	6	5	7	1	12	73	0
0.046	1	3	5	7	2	14	93	0
0.046	1	4	5	7	3	14	93	0
0.046	1	9	5	7	4	12	73	0
0.047	1	12	5	8	12	0	7	0
0.047	1	2	5	8	13	0	7	0
0.047	1	10	5	8	14	0	7	0
0.047	1	13	5	8	15	0	7	0
0.047	1	15	5	8	19	0	7	0
0.047	1	1	5	8	20	0	7	0
0.047	1	7	5	8	21	0	7	0
0.047	1	14	5	8	22	0	7	0
0.048	1	5	5	9	24	0	7	0
0.048	1	11	5	9	25	0	7	0
0.048	1	8	5	9	26	0	7	0
0.048	1	6	5	9	1	12	73	0
0.048	1	3	5	9	2	14	93	0
0.048	1	4	5	9	3	14	93	0
0.048	1	9	5	9	4	12	73	0
0.048	1	12	5	9	12	0	7	0
0.049	1	2	5	10	13	0	7	0
0.049	1	10	5	10	14	0	7	0
0.049	1	13	5	10	15	0	7	0
0.049	1	15	5	10	19	0	7	0
0.049	1	1	5	10	20	0	7	0
0.049	1	7	5	10	21	0	7	0
0.049	1	14	5	10	22	0	7	0
0.049	1	5	5	10	24	0	7	0
0.05	1	11	6	1	25	0	7	0
0.05	1	8	6	1	26	0	7	0
0.05	1	6	6	1	1	12	73	0
0.05	1	3	6	1	2	14	93	0
0.05	1	4	6	1	3	14	93	0
0.05	1	9	6	1	4	12	73	0
0.05	1	12	6	1	12	0	7	0
0.05	1	2	6	1	13	0	7	0
0.051	1	10	6	2	14	0	7	0
0.051	1	13	6	2	15	0	7	0
0.051	1	15	6	2	19	0	7	0
0.051	1	1	6	2	20	0	7	0
0.051	1	7	6	2	21	0	7	0
0.051	1	14	6	2	22	0	7	0
0.051	1	5	6	2	24	0	7	0
0.051	1	11	6	2	25	0	7	0
0.052	1	8	6	3	26	0	7	0
0.052	1	6	6	3	1	12	73	0
0.052	1	3	6	3	2	14	93	0
0.052	1	4	6	3	3	14	93	0
0.052	1	9	6	3	4	12	73	0
0.052	1	12	6	3	12	10	63	0
0.052	1	2	6	3	13	0	7	0
0.052	1	10	6	3	14	0	7	0
0.053	1	13	6	4	15	0	7	0
0.053	1	15	6	4	19	0	7	0
0.053	1	1	6	4	20	0	7	0
0.053	1	7	6	4	21	0	7	0
0.053	1	14	6	4	22	0	7	0
0.053	1	5	6	4	24	0	7	0
0.053	1	11	6	4	25	0	7	0
0.053	1	8	6	4	26	0	7	0
0.054	1	6	6	5	1	12	73	0
0.054	1	3	6	5	2	14	93	0
0.054	1	4	6	5	3	14	93	0
0.054	1	9	6	5	4	12	73	0
0.054	1	12	6	5	12	10	63	0
0.054	1	2	6	5	13	16	113	0
0.054	1	10	6	5	14	10	63	0
0.054	1	13	6	5	15	0	7	0
0.055	1	15	6	6	19	0	7	0
0.055	1	1	6	6	20	0	7	0
0.055	1	7	6	6	21	0	7	0
0.055	1	14	6	6	22	0	7	0
0.055	1	5	6	6	24	0	7	0
0.055	1	11	6	6	25	0	7	0
0.055	1	8	6	6	26	0	7	0
0.055	1	6	6	6	1	12	73	0
0.056	1	3	6	7	2	14	93	0
0.056	1	4	6	7	3	14	93	0
0.056	1	9	6	7	4	12	73	0
0.056	1	12	6	7	12	10	63	0
0.056	1	2	6	7	13	16	113	0
0.056	1	10	6	7	14	10	63	0
0.056	1	13	6	7	15	8	49	0
0.056	1	15	6	7	19	0	7	0
0.057	1	1	6	8	20	0	7	0
0.057	1	7	6	8	21	0	7	0
0.057	1	14	6	8	22	0	7	0
0.057	1	5	6	8	24	0	7	0
0.057	1	11	6	8	25	0	7	0
0.057	1	8	6	8	26	0	7	0
0.057	1	6	6	8	1	12	73	0
0.057	1	3	6	8	2	14	93	0
0.058	1	4	6	9	3	14	93	0
0.058	1	9	6	9	4	12	73	0
0.058	1	12	6	9	12	10	63	0
0.058	1	2	6	9	13	16	113	0
0.058	1	10	6	9	14	10	63	0
0.058	1	13	6	9	15	8	49	0
0.058	1	15	6	9	19	0	7	0
0.058	1	1	6	9	20	0	7	0
0.059	1	7	6	10	21	0	7	0
0.059	1	14	6	10	22	0	7	0
