% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.038	1	7	4	9	21	0	7	0
0.039	1	7	4	10	21	0	7	0
0.041	1	7	5	2	21	0	7	0
0.042	1	7	5	3	21	0	7	0
0.044	1	7	5	5	21	0	7	0
0.045	1	7	5	6	21	0	7	0
0.047	1	7	5	8	21	0	7	0
0.049	1	7	5	10	21	0	7	0
0.051	1	7	6	2	21	0	7	0
0.053	1	7	6	4	21	0	7	0
0.055	1	7	6	6	21	0	7	0
0.057	1	7	6	8	21	0	7	0
0.059	1	7	6	10	21	0	7	0
0.06	1	7	7	1	21	0	7	0
0.062	1	7	7	3	21	12	73	0
0.064	1	7	7	5	21	12	73	0
0.066	1	7	7	7	21	12	73	0
0.068	1	7	7	9	21	12	73	0
0.07	1	7	8	1	21	12	73	0
0.072	1	7	8	3	21	12	73	0
0.074	1	7	8	5	21	12	73	0
0.075	1	7	8	6	21	12	73	0
0.077	1	7	8	8	21	12	73	0
0.079	1	7	8	10	21	12	73	0
0.081	1	7	9	2	21	12	73	0
0.083	1	7	9	4	21	12	73	0
0.085	1	7	9	6	21	12	73	0
0.087	1	7	9	8	21	12	73	0
0.089	1	7	9	10	21	12	73	0
0.09	1	7	10	1	21	12	73	0
0.092	1	7	10	3	21	12	73	0
0.094	1	7	10	5	21	12	73	0
0.096	1	7	10	7	21	12	73	0
0.098	1	7	10	9	21	12	73	0
0.1	1	7	11	1	21	12	73	0
0.102	1	7	11	3	21	12	73	0
0.104	1	7	11	5	21	12	73	0
0.105	1	7	11	6	21	12	73	0
0.107	1	7	11	8	21	12	73	0
0.109	1	7	11	10	21	12	73	0
0.111	1	7	12	2	21	12	73	0
0.113	1	7	12	4	21	12	73	0
0.115	1	7	12	6	21	12	73	0
0.117	1	7	12	8	21	12	73	0
0.119	1	7	12	10	21	12	73	0
0.12	1	7	13	1	21	12	73	0
0.122	1	7	13	3	21	12	73	0
0.124	1	7	13	5	21	12	73	0
0.126	1	7	13	7	21	12	73	0
0.128	1	7	13	9	21	12	73	0
0.13	1	7	14	1	21	12	73	0
0.132	1	7	14	3	21	12	73	0
0.134	1	7	14	5	21	12	73	0
0.135	1	7	14	6	21	12	73	0
0.137	1	7	14	8	21	12	73	0
0.139	1	7	14	10	21	12	73	0
0.141	1	7	15	2	21	12	73	0
0.143	1	7	15	4	21	12	73	0
0.145	1	7	15	6	21	12	73	0
0.147	1	7	15	8	21	12	73	0
0.149	1	7	15	10	21	12	73	0
0.15	1	7	16	1	21	12	73	0
0.152	1	7	16	3	21	12	73	0
0.154	1	7	16	5	21	12	73	0
0.156	1	7	16	7	21	12	73	0
0.158	1	7	16	9	21	12	73	0
0.16	1	7	17	1	21	12	73	0
0.162	1	7	17	3	21	12	73	0
0.164	1	7	17	5	21	12	73	0
0.165	1	7	17	6	21	12	73	0
0.167	1	7	17	8	21	12	73	0
0.169	1	7	17	10	21	12	73	0
0.171	1	7	18	2	21	12	73	0
0.173	1	7	18	4	21	12	73	0
0.175	1	7	18	6	21	12	73	0
0.177	1	7	18	8	21	12	73	0
0.179	1	7	18	10	21	12	73	0
0.18	1	7	19	1	21	12	73	0
0.182	1	7	19	3	21	12	73	0
0.184	1	7	19	5	21	12	73	0
0.186	1	7	19	7	21	12	73	0
0.188	1	7	19	9	21	12	73	0
0.19	1	7	20	1	21	12	73	0
0.192	1	7	20	3	21	12	73	0
0.194	1	7	20	5	21	12	73	0
0.195	1	7	20	6	21	12	73	0
0.197	1	7	20	8	21	12	73	0
0.199	1	7	20	10	21	12	73	0
0.201	1	7	21	2	21	12	73	0
0.203	1	7	21	4	21	12	73	0
0.205	1	7	21	6	21	12	73	0
0.207	1	7	21	8	21	12	73	0
0.209	1	7	21	10	21	12	73	0
0.21	1	7	22	1	21	12	73	0
0.212	1	7	22	3	21	12	73	0
0.214	1	7	22	5	21	12	73	0
0.216	1	7	22	7	21	12	73	0
0.218	1	7	22	9	21	12	73	0
0.22	1	7	23	1	21	12	73	0
0.222	1	7	23	3	21	12	73	0
0.224	1	7	23	5	21	12	73	0
0.225	1	7	23	6	21	12	73	0
0.227	1	7	23	8	21	12	73	0
0.229	1	7	23	10	21	12	73	0
0.231	1	7	24	2	21	12	73	0
0.233	1	7	24	4	21	12	73	0
0.235	1	7	24	6	21	12	73	0
0.237	1	7	24	8	21	12	73	0
0.239	1	7	24	10	21	12	73	0
0.24	1	7	25	1	21	12	73	0
0.242	1	7	25	3	21	12	73	0
0.244	1	7	25	5	21	12	73	0
0.246	1	7	25	7	21	12	73	0
0.248	1	7	25	9	21	12	73	0
0.25	1	7	26	1	21	12	73	0
0.252	1	7	26	3	21	12	73	0
0.254	1	7	26	5	21	12	73	0
0.255	1	7	26	6	21	12	73	0
0.257	1	7	26	8	21	12	73	0
0.259	1	7	26	10	21	12	73	0
0.261	1	7	27	2	21	12	73	0
0.263	1	7	27	4	21	12	73	0
0.265	1	7	27	6	21	12	73	0
0.267	1	7	27	8	21	12	73	0
0.269	1	7	27	10	21	12	73	0
0.27	1	7	28	1	21	12	73	0
0.272	1	7	28	3	21	12	73	0
0.274	1	7	28	5	21	12	73	0
0.276	1	7	28	7	21	12	73	0
0.278	1	7	28	9	21	12	73	0
0.28	1	7	29	1	21	12	73	0
0.282	1	7	29	3	21	12	73	0
0.284	1	7	29	5	21	12	73	0
0.285	1	7	29	6	21	12	73	0
0.287	1	7	29	8	21	12	73	0
0.289	1	7	29	10	21	12	73	0
0.291	1	7	30	2	21	12	73	0
0.293	1	7	30	4	21	12	73	0
0.295	1	7	30	6	21	12	73	0
0.297	1	7	30	8	21	12	73	0
0.299	1	7	30	10	21	12	73	0
0.3	1	7	31	1	21	12	73	0
0.302	1	7	31	3	21	12	73	0
0.304	1	7	31	5	21	12	73	0
0.306	1	7	31	7	21	12	73	0
0.308	1	7	31	9	21	12	73	0
0.31	1	7	32	1	21	12	73	0
0.312	1	7	32	3	21	12	73	0
0.314	1	7	32	5	21	12	73	0
0.315	1	7	32	6	21	12	73	0
0.317	1	7	32	8	21	12	73	0
0.319	1	7	32	10	21	12	73	0
0.321	1	7	33	2	21	12	73	0
0.323	1	7	33	4	21	12	73	0
0.325	1	7	33	6	21	12	73	0
0.327	1	7	33	8	21	12	73	0
0.329	1	7	33	10	21	12	73	0
0.33	1	7	34	1	21	12	73	0
0.332	1	7	34	3	21	12	73	0
0.334	1	7	34	5	21	12	73	0
0.336	1	7	34	7	21	12	73	0
0.338	1	7	34	9	21	12	73	0
0.34	1	7	35	1	21	12	73	0
0.342	1	7	35	3	21	12	73	0
0.344	1	7	35	5	21	12	73	0
0.345	1	7	35	6	21	12	73	0
0.347	1	7	35	8	21	12	73	0
0.349	1	7	35	10	21	12	73	0
0.351	1	7	36	2	21	12	73	0
0.353	1	7	36	4	21	12	73	0
0.355	1	7	36	6	21	12	73	0
0.357	1	7	36	8	21	12	73	0
0.359	1	7	36	10	21	12	73	0
0.36	1	7	37	1	21	12	73	0
0.362	1	7	37	3	21	12	73	0
0.364	1	7	37	5	21	12	73	0
0.366	1	7	37	7	21	12	73	0
0.368	1	7	37	9	21	12	73	0
0.37	1	7	38	1	21	12	73	0
0.372	1	7	38	3	21	12	73	0
0.374	1	7	38	5	21	12	73	0
0.375	1	7	38	6	21	12	73	0
0.377	1	7	38	8	21	12	73	0
0.379	1	7	38	10	21	12	73	0
0.381	1	7	39	2	21	12	73	0
0.383	1	7	39	4	21	12	73	0
0.385	1	7	39	6	21	12	73	0
0.387	1	7	39	8	21	12	73	0
0.389	1	7	39	10	21	12	73	0
0.39	1	7	40	1	21	12	73	0
0.392	1	7	40	3	21	12	73	0
0.394	1	7	40	5	21	12	73	0
0.396	1	7	40	7	21	12	73	0
0.398	1	7	40	9	21	12	73	0
0.4	1	7	41	1	21	12	73	0
0.402	1	7	41	3	21	12	73	0
0.404	1	7	41	5	21	12	73	0
0.405	1	7	41	6	21	12	73	0
0.407	1	7	41	8	21	12	73	0
0.409	1	7	41	10	21	12	73	0
0.411	1	7	42	2	21	12	73	0
0.413	1	7	42	4	21	12	73	0
0.415	1	7	42	6	21	12	73	0
0.417	1	7	42	8	21	12	73	0
0.419	1	7	42	10	21	12	73	0
0.42	1	7	43	1	21	12	73	0
0.422	1	7	43	3	21	12	73	0
0.424	1	7	43	5	21	12	73	0
0.426	1	7	43	7	21	12	73	0
0.428	1	7	43	9	21	12	73	0
0.43	1	7	44	1	21	12	73	0
0.432	1	7	44	3	21	12	73	0
0.434	1	7	44	5	21	12	73	0
0.435	1	7	44	6	21	12	73	0
0.437	1	7	44	8	21	12	73	0
0.439	1	7	44	10	21	12	73	0
0.441	1	7	45	2	21	12	73	0
0.443	1	7	45	4	21	12	73	0
0.445	1	7	45	6	21	12	73	0
0.447	1	7	45	8	21	12	73	0
0.449	1	7	45	10	21	12	73	0
0.45	1	7	46	1	21	12	73	0
0.452	1	7	46	3	21	12	73	0
0.454	1	7	46	5	21	12	73	0
0.456	1	7	46	7	21	12	73	0
0.458	1	7	46	9	21	12	73	0
0.46	1	7	47	1	21	12	73	0
0.462	1	7	47	3	21	12	73	0
0.464	1	7	47	5	21	12	73	0
0.465	1	7	47	6	21	12	73	0
0.467	1	7	47	8	21	12	73	0
0.469	1	7	47	10	21	12	73	0
0.471	1	7	48	2	21	12	73	0
0.473	1	7	48	4	21	12	73	0
0.475	1	7	48	6	21	12	73	0
0.477	1	7	48	8	21	12	73	0
0.479	1	7	48	10	21	12	73	0
0.48	1	7	49	1	21	12	73	0
0.482	1	7	49	3	21	12	73	0
0.484	1	7	49	5	21	12	73	0
0.486	1	7	49	7	21	12	73	0
0.488	1	7	49	9	21	12	73	0
0.49	1	7	50	1	21	12	73	0
0.492	1	7	50	3	21	12	73	0
0.494	1	7	50	5	21	12	73	0
0.495	1	7	50	6	21	12	73	0
0.497	1	7	50	8	21	12	73	0
0.499	1	7	50	10	21	12	73	0
0.501	1	7	51	2	21	12	73	0
0.503	1	7	51	4	21	12	73	0
0.505	1	7	51	6	21	12	73	0
0.507	1	7	51	8	21	12	73	0
0.509	1	7	51	10	21	12	73	0
0.51	1	7	52	1	21	12	73	0
0.512	1	7	52	3	21	12	73	0
0.514	1	7	52	5	21	12	73	0
0.516	1	7	52	7	21	12	73	0
0.518	1	7	52	9	21	12	73	0
0.52	1	7	53	1	21	12	73	0
0.522	1	7	53	3	21	12	73	0
0.524	1	7	53	5	21	12	73	0
0.525	1	7	53	6	21	12	73	0
0.527	1	7	53	8	21	12	73	0
0.529	1	7	53	10	21	12	73	0
0.531	1	7	54	2	21	12	73	0
0.533	1	7	54	4	21	12	73	0
0.535	1	7	54	6	21	12	73	0
0.537	1	7	54	8	21	12	73	0
0.539	1	7	54	10	21	12	73	0
0.54	1	7	55	1	21	12	73	0
0.542	1	7	55	3	21	12	73	0
0.544	1	7	55	5	21	12	73	0
0.546	1	7	55	7	21	12	73	0
0.548	1	7	55	9	21	12	73	0
0.55	1	7	56	1	21	12	73	0
0.552	1	7	56	3	21	12	73	0
0.554	1	7	56	5	21	12	73	0
0.555	1	7	56	6	21	12	73	0
0.557	1	7	56	8	21	12	73	0
0.559	1	7	56	10	21	12	73	0
0.561	1	7	57	2	21	12	73	0
0.563	1	7	57	4	21	12	73	0
0.565	1	7	57	6	21	12	73	0
0.567	1	7	57	8	21	12	73	0
0.569	1	7	57	10	21	12	73	0
0.57	1	7	58	1	21	12	73	0
0.572	1	7	58	3	21	12	73	0
0.574	1	7	58	5	21	12	73	0
0.576	1	7	58	7	21	12	73	0
0.578	1	7	58	9	21	12	73	0
0.58	1	7	59	1	21	12	73	0
0.582	1	7	59	3	21	12	73	0
0.584	1	7	59	5	21	12	73	0
0.585	1	7	59	6	21	12	73	0
0.587	1	7	59	8	21	12	73	0
0.589	1	7	59	10	21	12	73	0
0.591	1	7	60	2	21	12	73	0
0.593	1	7	60	4	21	12	73	0
0.595	1	7	60	6	21	12	73	0
0.597	1	7	60	8	21	12	73	0
0.599	1	7	60	10	21	12	73	0
0.6	1	7	61	1	21	12	73	0
0.602	1	7	61	3	21	12	73	0
0.604	1	7	61	5	21	12	73	0
0.606	1	7	61	7	21	12	73	0
0.608	1	7	61	9	21	12	73	0
0.61	1	7	62	1	21	12	73	0
0.612	1	7	62	3	21	12	73	0
0.614	1	7	62	5	21	12	73	0
0.615	1	7	62	6	21	12	73	0
0.617	1	7	62	8	21	12	73	0
0.619	1	7	62	10	21	12	73	0
0.621	1	7	63	2	21	12	73	0
0.623	1	7	63	4	21	12	73	0
0.625	1	7	63	6	21	12	73	0
0.627	1	7	63	8	21	12	73	0
0.629	1	7	63	10	21	12	73	0
0.63	1	7	64	1	21	12	73	0
0.632	1	7	64	3	21	12	73	0
0.634	1	7	64	5	21	12	73	0
0.636	1	7	64	7	21	12	73	0
0.638	1	7	64	9	21	12	73	0
0.64	1	7	65	1	21	12	73	0
0.642	1	7	65	3	21	12	73	0
0.644	1	7	65	5	21	12	73	0
0.645	1	7	65	6	21	12	73	0
0.647	1	7	65	8	21	12	73	0
0.649	1	7	65	10	21	12	73	0
0.651	1	7	66	2	21	12	73	0
0.653	1	7	66	4	21	12	73	0
0.655	1	7	66	6	21	12	73	0
0.657	1	7	66	8	21	12	73	0
0.659	1	7	66	10	21	12	73	0
0.66	1	7	67	1	21	12	73	0
