% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	227	166408	225	0.157270	0.003	0	0.003	0.003	732.933	106.812	26	749	
0	0.25	1	2	2	3	227	166408	225	0.157270	0.003	0	0.003	0.003	732.933	106.812	26	749	
0	0.25	1	3	1	3	227	166408	225	0.157270	0.003	0	0.003	0.003	732.933	106.812	26	749	
0.25	0.5	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.25	0.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.25	0.5	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.5	0.75	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.5	0.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.5	0.75	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.75	1	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.75	1	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.75	1	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1	1.25	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1	1.25	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1	1.25	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.25	1.5	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.25	1.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.25	1.5	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.5	1.75	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.5	1.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.5	1.75	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.75	2	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.75	2	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.75	2	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2	2.25	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2	2.25	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2	2.25	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.25	2.5	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.25	2.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.25	2.5	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.5	2.75	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.5	2.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.5	2.75	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.75	3	1	1	3	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.75	3	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.75	3	1	3	1	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
3	3.25	1	1	3	3	218	186932	219	0.178473	0.003	0	0.003	0.003	854.534	228.899	373	1692	
3	3.25	1	2	2	3	221	186956	221	0.178118	0.003	0	0.003	0.003	845.113	267.273	549	1692	
3	3.25	1	3	1	3	220	186213	221	0.177605	0.003	0	0.003	0.003	842.679	265.675	549	1692	
3.25	3.5	1	1	3	3	168	185081	168	0.176507	0.003	0	0.003	0.003	1101.67	394.716	549	1692	
3.25	3.5	1	2	2	3	166	185622	166	0.177214	0.003	0	0.003	0.003	1119.41	394.668	549	1692	
3.25	3.5	1	3	1	3	166	186765	166	0.177910	0.003	0	0.003	0.003	1123.81	394.583	549	1692	
3.5	3.75	1	1	3	3	166	186552	166	0.177727	0.003	0	0.003	0.003	1122.65	393.816	549	1692	
3.5	3.75	1	2	2	3	166	185822	166	0.177391	0.003	0	0.003	0.003	1120.53	393.874	549	1692	
3.5	3.75	1	3	1	3	168	185081	168	0.176507	0.003	0	0.003	0.003	1101.67	394.716	549	1692	
3.75	4	1	1	3	3	168	185081	168	0.177026	0.003	0	0.003	0.003	1104.91	395.571	549	1692	
3.75	4	1	2	2	3	166	186008	166	0.176510	0.003	0	0.003	0.003	1114.96	396.919	549	1692	
3.75	4	1	3	1	3	166	186360	166	0.178113	0.003	0	0.003	0.003	1125.09	396.089	549	1692	
4	4.25	1	1	3	3	166	186765	166	0.177391	0.003	0	0.003	0.003	1120.53	393.874	549	1692	
4	4.25	1	2	2	3	166	185622	166	0.177727	0.003	0	0.003	0.003	1122.65	393.816	549	1692	
4	4.25	1	3	1	3	168	185081	168	0.176507	0.003	0	0.003	0.003	1101.67	394.716	549	1692	
4.25	4.5	1	1	3	3	167	185428	166	0.177214	0.003	0	0.003	0.003	1119.41	394.668	549	1692	
