% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	12	24237	12	0.023114	0.003	0	0.003	0.003	2019.75	610.548	81	2196	
0	0.25	1	2	2	3	54	22054	53	0.020631	0.003	0	0.003	0.003	408.17	65.4093	81	421	
0	0.25	1	3	1	3	163	21575	157	0.019814	0.003	0	0.003	0.003	132.338	5.85022	81	133	
0.25	0.5	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
0.25	0.5	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
0.25	0.5	1	3	1	3	180	23940	177	0.022450	0.003	0	0.003	0.003	133	0	133	133	
0.5	0.75	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
0.5	0.75	1	3	1	3	180	23940	179	0.022704	0.003	0	0.003	0.003	133	0	133	133	
0.75	1	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	2	2	3	57	23997	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
0.75	1	1	3	1	3	181	24073	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
1	1.25	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
1	1.25	1	3	1	3	180	23940	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
1.25	1.5	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	2	2	3	58	24418	57	0.022885	0.003	0	0.003	0.003	421	0	421	421	
1.25	1.5	1	3	1	3	180	23940	181	0.022958	0.003	0	0.003	0.003	133	0	133	133	
1.5	1.75	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
1.5	1.75	1	3	1	3	180	23940	176	0.022324	0.003	0	0.003	0.003	133	0	133	133	
1.75	2	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
1.75	2	1	3	1	3	180	23940	180	0.022831	0.003	0	0.003	0.003	133	0	133	133	
2	2.25	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	2	2	3	57	23997	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
2	2.25	1	3	1	3	181	24073	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
2.25	2.5	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
2.25	2.5	1	3	1	3	180	23940	176	0.022324	0.003	0	0.003	0.003	133	0	133	133	
2.5	2.75	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	2	2	3	58	24418	57	0.022885	0.003	0	0.003	0.003	421	0	421	421	
2.5	2.75	1	3	1	3	180	23940	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
2.75	3	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
2.75	3	1	3	1	3	180	23940	177	0.022450	0.003	0	0.003	0.003	133	0	133	133	
3	3.25	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
3	3.25	1	3	1	3	180	23940	174	0.022070	0.003	0	0.003	0.003	133	0	133	133	
3.25	3.5	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	2	2	3	57	23997	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
3.25	3.5	1	3	1	3	181	24073	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
3.5	3.75	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
3.5	3.75	1	3	1	3	180	23940	178	0.022577	0.003	0	0.003	0.003	133	0	133	133	
3.75	4	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	2	2	3	58	24418	57	0.022885	0.003	0	0.003	0.003	421	0	421	421	
3.75	4	1	3	1	3	180	23940	177	0.022450	0.003	0	0.003	0.003	133	0	133	133	
4	4.25	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
4	4.25	1	3	1	3	180	23940	175	0.022197	0.003	0	0.003	0.003	133	0	133	133	
4.25	4.5	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	2	2	3	57	23997	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
4.25	4.5	1	3	1	3	181	24073	180	0.022831	0.003	0	0.003	0.003	133	0	133	133	
4.5	4.75	1	1	3	3	12	26352	12	0.025131	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	2	2	3	58	24418	58	0.023287	0.003	0	0.003	0.003	421	0	421	421	
