% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	224	491904	222	0.464928	0.003	0	0.003	0.003	2196	0	2196	2196	
0	0.25	1	3	1	3	5	405	5	0.000386	0.003	0	0.003	0.003	81	0	81	81	
0.25	0.5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
4.75	5	1	1	3	3	250	549000	250	0.523567	0.003	0	0.003	0.003	2196	0	2196	2196	
