% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	183	393408	181	0.370995	0.003	0	0.003	0.003	2149.26	311.782	81	2196	
0	0.25	1	2	2	3	46	4484	46	0.004276	0.003	0	0.003	0.003	97.4783	12.0162	41	101	
0	0.25	1	3	1	3	46	4442	44	0.004051	0.003	0	0.003	0.003	96.5455	9.09755	41	109	
0.25	0.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.25	0.5	1	2	2	3	50	4914	50	0.004686	0.003	0	0.003	0.003	98.28	9.31762	67	101	
0.25	0.5	1	3	1	3	50	4898	50	0.004671	0.003	0	0.003	0.003	97.96	3.28857	97	109	
0.5	0.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	2	2	3	50	4948	50	0.004719	0.003	0	0.003	0.003	98.96	8.15653	67	101	
0.5	0.75	1	3	1	3	50	4886	50	0.004660	0.003	0	0.003	0.003	97.72	2.87878	97	109	
0.75	1	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	2	2	3	50	4914	50	0.004686	0.003	0	0.003	0.003	98.28	9.31762	67	101	
0.75	1	1	3	1	3	50	4898	50	0.004671	0.003	0	0.003	0.003	97.96	3.28857	97	109	
1	1.25	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	2	2	3	50	4948	50	0.004719	0.003	0	0.003	0.003	98.96	8.15653	67	101	
1	1.25	1	3	1	3	50	4886	49	0.004567	0.003	0	0.003	0.003	97.7347	2.90671	97	109	
1.25	1.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	2	2	3	50	4914	50	0.004686	0.003	0	0.003	0.003	98.28	9.31762	67	101	
1.25	1.5	1	3	1	3	50	4898	50	0.004671	0.003	0	0.003	0.003	97.96	3.28857	97	109	
1.5	1.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	2	2	3	50	4948	50	0.004719	0.003	0	0.003	0.003	98.96	8.15653	67	101	
