% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	2	2	3	46	8942	46	0.008528	0.003	0	0.003	0.003	194.391	29.4931	41	209	
0.25	0.5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
0.5	0.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
0.75	1	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1	1.25	1	2	2	3	50	9910	50	0.009451	0.003	0	0.003	0.003	198.2	16.6648	173	209	
1.25	1.5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1.5	1.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1.75	2	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
2	2.25	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
2.25	2.5	1	2	2	3	51	10155	51	0.009685	0.003	0	0.003	0.003	199.118	16.2255	173	209	
2.5	2.75	1	2	2	3	50	9910	50	0.009451	0.003	0	0.003	0.003	198.2	16.6648	173	209	
2.75	3	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
3	3.25	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
3.25	3.5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
3.5	3.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
3.75	4	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
4	4.25	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
4.25	4.5	1	2	2	3	50	9910	50	0.009451	0.003	0	0.003	0.003	198.2	16.6648	173	209	
4.5	4.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
4.75	5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
