% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	46	55025	46	0.052476	0.003	0	0.003	0.003	1196.2	246.612	41	2196	
0	0.25	1	2	2	3	183	75683	181	0.071374	0.003	0	0.003	0.003	413.486	50.121	81	421	
0	0.25	1	3	1	3	45	2613	44	0.002430	0.003	0	0.003	0.003	57.9091	6.50516	41	65	
0.25	0.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
0.25	0.5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
0.25	0.5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
0.5	0.75	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
0.5	0.75	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
0.5	0.75	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
0.75	1	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
0.75	1	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
0.75	1	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
1	1.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1	1.25	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
1	1.25	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
1.25	1.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1.25	1.5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
1.25	1.5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
1.5	1.75	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1.5	1.75	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
1.5	1.75	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
1.75	2	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
1.75	2	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
1.75	2	1	3	1	3	50	2914	49	0.002717	0.003	0	0.003	0.003	58.1429	6	53	65	
2	2.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
2	2.25	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
2	2.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
2.25	2.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
2.25	2.5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
2.25	2.5	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
2.5	2.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
2.5	2.75	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
2.5	2.75	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
2.75	3	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
2.75	3	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
2.75	3	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
3	3.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3	3.25	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
3	3.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
3.25	3.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3.25	3.5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
3.25	3.5	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
3.5	3.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
3.5	3.75	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
3.5	3.75	1	3	1	3	50	2914	49	0.002728	0.003	0	0.003	0.003	58.3878	6.03053	53	65	
3.75	4	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3.75	4	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
3.75	4	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
4	4.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4	4.25	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
4	4.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
4.25	4.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4.25	4.5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
4.25	4.5	1	3	1	3	50	2926	48	0.002678	0.003	0	0.003	0.003	58.5	6.0424	53	65	
4.5	4.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
4.5	4.75	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
4.5	4.75	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
4.75	5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4.75	5	1	2	2	3	200	84200	200	0.080299	0.003	0	0.003	0.003	421	0	421	421	
4.75	5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
