% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	46	55025	46	0.052476	0.003	0	0.003	0.003	1196.2	246.612	41	2196	
0.25	0.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
0.5	0.75	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
0.75	1	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
1	1.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1.25	1.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1.5	1.75	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
1.75	2	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
2	2.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
2.25	2.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
2.5	2.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
2.75	3	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3	3.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3.25	3.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
3.5	3.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
3.75	4	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4	4.25	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4.25	4.5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
4.5	4.75	1	1	3	3	50	60126	50	0.057341	0.003	0	0.003	0.003	1202.52	96.2739	1095	1287	
4.75	5	1	1	3	3	50	59934	50	0.057158	0.003	0	0.003	0.003	1198.68	96.6638	1095	1287	
