% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	2	2	3	46	49316	46	0.047031	0.003	0	0.003	0.003	1072.09	155.404	41	1095	
0.25	0.5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
0.5	0.75	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
0.75	1	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
1	1.25	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
1.25	1.5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
1.5	1.75	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
1.75	2	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
2	2.25	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
2.25	2.5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
2.5	2.75	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
2.75	3	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
3	3.25	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
3.25	3.5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
3.5	3.75	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
3.75	4	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
4	4.25	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
4.25	4.5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
4.5	4.75	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
4.75	5	1	2	2	3	50	54750	50	0.052214	0.003	0	0.003	0.003	1095	0	1095	1095	
