% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	3	3	2	1	0	81	0	0	0
0.022	1	2	3	3	2	0	81	0	0	0
0.023	1	1	3	4	3	0	81	0	0	0
0.024	1	3	3	5	1	0	81	0	0	0
0.025	1	2	3	6	2	0	81	0	0	0
0.026	1	1	3	7	3	28	2196	0	0	0
0.027	1	3	3	8	1	28	2196	0	0	0
0.028	1	2	3	9	2	28	2196	0	0	0
0.029	1	1	3	10	3	28	2196	0	0	0
0.03	1	3	4	1	1	28	2196	0	0	0
0.031	1	2	4	2	2	28	2196	0	0	0
0.032	1	1	4	3	3	28	2196	0	0	0
0.033	1	3	4	4	1	28	2196	0	0	0
0.034	1	2	4	5	2	28	2196	0	0	0
0.035	1	1	4	6	3	28	2196	0	0	0
0.036	1	3	4	7	1	28	2196	0	0	0
0.037	1	2	4	8	2	28	2196	0	0	0
0.038	1	1	4	9	3	28	2196	0	0	0
0.039	1	3	4	10	1	28	2196	0	0	0
0.04	1	2	5	1	2	28	2196	0	0	0
0.041	1	1	5	2	3	28	2196	0	0	0
0.042	1	3	5	3	1	28	2196	0	0	0
0.043	1	2	5	4	2	28	2196	0	0	0
0.044	1	1	5	5	3	28	2196	0	0	0
0.045	1	3	5	6	1	28	2196	0	0	0
0.046	1	2	5	7	2	28	2196	0	0	0
0.047	1	1	5	8	3	28	2196	0	0	0
0.048	1	3	5	9	1	28	2196	0	0	0
0.049	1	2	5	10	2	28	2196	0	0	0
0.05	1	1	6	1	3	28	2196	0	0	0
0.051	1	3	6	2	1	28	2196	0	0	0
0.052	1	2	6	3	2	28	2196	0	0	0
0.053	1	1	6	4	3	28	2196	0	0	0
0.054	1	3	6	5	1	28	2196	0	0	0
0.055	1	2	6	6	2	28	2196	0	0	0
0.056	1	1	6	7	3	28	2196	0	0	0
0.057	1	3	6	8	1	28	2196	0	0	0
0.058	1	2	6	9	2	28	2196	0	0	0
0.059	1	1	6	10	3	28	2196	0	0	0
0.06	1	3	7	1	1	28	2196	0	0	0
0.061	1	2	7	2	2	28	2196	0	0	0
0.062	1	1	7	3	3	28	2196	0	0	0
0.063	1	3	7	4	1	28	2196	0	0	0
0.064	1	2	7	5	2	28	2196	0	0	0
0.065	1	1	7	6	3	28	2196	0	0	0
0.066	1	3	7	7	1	28	2196	0	0	0
0.067	1	2	7	8	2	28	2196	0	0	0
0.068	1	1	7	9	3	28	2196	0	0	0
0.069	1	3	7	10	1	28	2196	0	0	0
0.07	1	2	8	1	2	28	2196	0	0	0
0.071	1	1	8	2	3	28	2196	0	0	0
0.072	1	3	8	3	1	28	2196	0	0	0
0.073	1	2	8	4	2	28	2196	0	0	0
0.074	1	1	8	5	3	28	2196	0	0	0
0.075	1	3	8	6	1	28	2196	0	0	0
0.076	1	2	8	7	2	28	2196	0	0	0
0.077	1	1	8	8	3	28	2196	0	0	0
0.078	1	3	8	9	1	28	2196	0	0	0
0.079	1	2	8	10	2	28	2196	0	0	0
0.08	1	1	9	1	3	28	2196	0	0	0
0.081	1	3	9	2	1	28	2196	0	0	0
0.082	1	2	9	3	2	28	2196	0	0	0
0.083	1	1	9	4	3	28	2196	0	0	0
0.084	1	3	9	5	1	28	2196	0	0	0
0.085	1	2	9	6	2	28	2196	0	0	0
0.086	1	1	9	7	3	28	2196	0	0	0
0.087	1	3	9	8	1	28	2196	0	0	0
0.088	1	2	9	9	2	28	2196	0	0	0
0.089	1	1	9	10	3	28	2196	0	0	0
0.09	1	3	10	1	1	28	2196	0	0	0
0.091	1	2	10	2	2	28	2196	0	0	0
0.092	1	1	10	3	3	28	2196	0	0	0
0.093	1	3	10	4	1	28	2196	0	0	0
0.094	1	2	10	5	2	28	2196	0	0	0
0.095	1	1	10	6	3	28	2196	0	0	0
0.096	1	3	10	7	1	28	2196	0	0	0
0.097	1	2	10	8	2	28	2196	0	0	0
0.098	1	1	10	9	3	28	2196	0	0	0
0.099	1	3	10	10	1	28	2196	0	0	0
0.1	1	2	11	1	2	28	2196	0	0	0
0.101	1	1	11	2	3	28	2196	0	0	0
0.102	1	3	11	3	1	28	2196	0	0	0
0.103	1	2	11	4	2	28	2196	0	0	0
0.104	1	1	11	5	3	28	2196	0	0	0
0.105	1	3	11	6	1	28	2196	0	0	0
0.106	1	2	11	7	2	28	2196	0	0	0
0.107	1	1	11	8	3	28	2196	0	0	0
0.108	1	3	11	9	1	28	2196	0	0	0
0.109	1	2	11	10	2	28	2196	0	0	0
0.11	1	1	12	1	3	28	2196	0	0	0
0.111	1	3	12	2	1	28	2196	0	0	0
0.112	1	2	12	3	2	28	2196	0	0	0
0.113	1	1	12	4	3	28	2196	0	0	0
0.114	1	3	12	5	1	28	2196	0	0	0
0.115	1	2	12	6	2	28	2196	0	0	0
0.116	1	1	12	7	3	28	2196	0	0	0
0.117	1	3	12	8	1	28	2196	0	0	0
0.118	1	2	12	9	2	28	2196	0	0	0
0.119	1	1	12	10	3	28	2196	0	0	0
0.12	1	3	13	1	1	28	2196	0	0	0
0.121	1	2	13	2	2	28	2196	0	0	0
0.122	1	1	13	3	3	28	2196	0	0	0
0.123	1	3	13	4	1	28	2196	0	0	0
0.124	1	2	13	5	2	28	2196	0	0	0
0.125	1	1	13	6	3	28	2196	0	0	0
0.126	1	3	13	7	1	28	2196	0	0	0
0.127	1	2	13	8	2	28	2196	0	0	0
0.128	1	1	13	9	3	28	2196	0	0	0
0.129	1	3	13	10	1	28	2196	0	0	0
0.13	1	2	14	1	2	28	2196	0	0	0
0.131	1	1	14	2	3	28	2196	0	0	0
0.132	1	3	14	3	1	28	2196	0	0	0
0.133	1	2	14	4	2	28	2196	0	0	0
0.134	1	1	14	5	3	28	2196	0	0	0
0.135	1	3	14	6	1	28	2196	0	0	0
0.136	1	2	14	7	2	28	2196	0	0	0
0.137	1	1	14	8	3	28	2196	0	0	0
0.138	1	3	14	9	1	28	2196	0	0	0
0.139	1	2	14	10	2	28	2196	0	0	0
0.14	1	1	15	1	3	28	2196	0	0	0
0.141	1	3	15	2	1	28	2196	0	0	0
0.142	1	2	15	3	2	28	2196	0	0	0
0.143	1	1	15	4	3	28	2196	0	0	0
0.144	1	3	15	5	1	28	2196	0	0	0
0.145	1	2	15	6	2	28	2196	0	0	0
0.146	1	1	15	7	3	28	2196	0	0	0
0.147	1	3	15	8	1	28	2196	0	0	0
0.148	1	2	15	9	2	28	2196	0	0	0
0.149	1	1	15	10	3	28	2196	0	0	0
0.15	1	3	16	1	1	28	2196	0	0	0
0.151	1	2	16	2	2	28	2196	0	0	0
0.152	1	1	16	3	3	28	2196	0	0	0
0.153	1	3	16	4	1	28	2196	0	0	0
0.154	1	2	16	5	2	28	2196	0	0	0
0.155	1	1	16	6	3	28	2196	0	0	0
0.156	1	3	16	7	1	28	2196	0	0	0
0.157	1	2	16	8	2	28	2196	0	0	0
0.158	1	1	16	9	3	28	2196	0	0	0
0.159	1	3	16	10	1	28	2196	0	0	0
0.16	1	2	17	1	2	28	2196	0	0	0
0.161	1	1	17	2	3	28	2196	0	0	0
0.162	1	3	17	3	1	28	2196	0	0	0
0.163	1	2	17	4	2	28	2196	0	0	0
0.164	1	1	17	5	3	28	2196	0	0	0
0.165	1	3	17	6	1	28	2196	0	0	0
0.166	1	2	17	7	2	28	2196	0	0	0
0.167	1	1	17	8	3	28	2196	0	0	0
0.168	1	3	17	9	1	28	2196	0	0	0
0.169	1	2	17	10	2	28	2196	0	0	0
0.17	1	1	18	1	3	28	2196	0	0	0
0.171	1	3	18	2	1	28	2196	0	0	0
0.172	1	2	18	3	2	28	2196	0	0	0
0.173	1	1	18	4	3	28	2196	0	0	0
0.174	1	3	18	5	1	28	2196	0	0	0
0.175	1	2	18	6	2	28	2196	0	0	0
0.176	1	1	18	7	3	28	2196	0	0	0
0.177	1	3	18	8	1	28	2196	0	0	0
0.178	1	2	18	9	2	28	2196	0	0	0
0.179	1	1	18	10	3	28	2196	0	0	0
0.18	1	3	19	1	1	28	2196	0	0	0
0.181	1	2	19	2	2	28	2196	0	0	0
0.182	1	1	19	3	3	28	2196	0	0	0
0.183	1	3	19	4	1	28	2196	0	0	0
0.184	1	2	19	5	2	28	2196	0	0	0
0.185	1	1	19	6	3	28	2196	0	0	0
0.186	1	3	19	7	1	28	2196	0	0	0
0.187	1	2	19	8	2	28	2196	0	0	0
0.188	1	1	19	9	3	28	2196	0	0	0
0.189	1	3	19	10	1	28	2196	0	0	0
0.19	1	2	20	1	2	28	2196	0	0	0
0.191	1	1	20	2	3	28	2196	0	0	0
0.192	1	3	20	3	1	28	2196	0	0	0
0.193	1	2	20	4	2	28	2196	0	0	0
0.194	1	1	20	5	3	28	2196	0	0	0
0.195	1	3	20	6	1	28	2196	0	0	0
0.196	1	2	20	7	2	28	2196	0	0	0
0.197	1	1	20	8	3	28	2196	0	0	0
0.198	1	3	20	9	1	28	2196	0	0	0
0.199	1	2	20	10	2	28	2196	0	0	0
0.2	1	1	21	1	3	28	2196	0	0	0
0.201	1	3	21	2	1	28	2196	0	0	0
0.202	1	2	21	3	2	28	2196	0	0	0
0.203	1	1	21	4	3	28	2196	0	0	0
0.204	1	3	21	5	1	28	2196	0	0	0
0.205	1	2	21	6	2	28	2196	0	0	0
