% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	76	164781	75	0.155053	0.003	0	0.003	0.003	2167.8	244.219	81	2196	
0	0.25	1	2	2	3	76	162666	76	0.155130	0.003	0	0.003	0.003	2140.34	340.803	81	2196	
0	0.25	1	3	1	3	77	164862	76	0.155130	0.003	0	0.003	0.003	2140.34	340.803	81	2196	
0.25	0.5	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
0.25	0.5	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
0.25	0.5	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	1	3	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	2	2	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	3	1	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	1	3	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	2	2	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	3	1	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.75	5	1	1	3	3	83	182268	84	0.175919	0.003	0	0.003	0.003	2196	0	2196	2196	
4.75	5	1	2	2	3	84	184464	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
4.75	5	1	3	1	3	83	182268	83	0.173824	0.003	0	0.003	0.003	2196	0	2196	2196	
