% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
4	1	6	401	1	1	28	373	0	0	0
4.001	1	6	401	2	1	28	373	0	0	0
4.002	1	6	401	3	1	28	373	0	0	0
4.003	1	6	401	4	1	28	373	0	0	0
4.004	1	6	401	5	1	28	373	0	0	0
4.005	1	6	401	6	1	28	373	0	0	0
4.006	1	6	401	7	1	28	373	0	0	0
4.007	1	6	401	8	1	28	373	0	0	0
4.008	1	6	401	9	1	28	373	0	0	0
4.009	1	6	401	10	1	28	373	0	0	0
4.01	1	6	402	1	1	28	373	0	0	0
4.011	1	6	402	2	1	28	373	0	0	0
4.012	1	6	402	3	1	28	373	0	0	0
4.013	1	6	402	4	1	28	373	0	0	0
4.014	1	6	402	5	1	28	373	0	0	0
4.015	1	6	402	6	1	28	373	0	0	0
4.016	1	6	402	7	1	28	373	0	0	0
4.017	1	6	402	8	1	28	373	0	0	0
4.018	1	6	402	9	1	28	373	0	0	0
4.019	1	6	402	10	1	28	373	0	0	0
4.02	1	6	403	1	1	28	373	0	0	0
4.021	1	6	403	2	1	28	373	0	0	0
4.022	1	6	403	3	1	28	373	0	0	0
4.023	1	6	403	4	1	28	373	0	0	0
4.024	1	6	403	5	1	28	373	0	0	0
4.025	1	6	403	6	1	28	373	0	0	0
4.026	1	6	403	7	1	28	373	0	0	0
4.027	1	6	403	8	1	28	373	0	0	0
4.028	1	6	403	9	1	28	373	0	0	0
4.029	1	6	403	10	1	28	373	0	0	0
4.03	1	6	404	1	1	28	373	0	0	0
4.031	1	6	404	2	1	28	373	0	0	0
4.032	1	6	404	3	1	28	373	0	0	0
4.033	1	6	404	4	1	28	373	0	0	0
4.034	1	6	404	5	1	28	373	0	0	0
4.035	1	6	404	6	1	28	373	0	0	0
4.036	1	6	404	7	1	28	373	0	0	0
4.037	1	6	404	8	1	28	373	0	0	0
4.038	1	6	404	9	1	28	373	0	0	0
4.039	1	6	404	10	1	28	373	0	0	0
4.04	1	6	405	1	1	28	373	0	0	0
4.041	1	6	405	2	1	28	373	0	0	0
4.042	1	6	405	3	1	28	373	0	0	0
4.043	1	6	405	4	1	28	373	0	0	0
4.044	1	6	405	5	1	28	373	0	0	0
4.045	1	6	405	6	1	28	373	0	0	0
4.046	1	6	405	7	1	28	373	0	0	0
4.047	1	6	405	8	1	28	373	0	0	0
4.048	1	6	405	9	1	28	373	0	0	0
4.049	1	6	405	10	1	28	373	0	0	0
4.05	1	6	406	1	1	28	373	0	0	0
4.051	1	6	406	2	1	28	373	0	0	0
4.052	1	6	406	3	1	28	373	0	0	0
4.053	1	6	406	4	1	28	373	0	0	0
4.054	1	6	406	5	1	28	373	0	0	0
4.055	1	6	406	6	1	28	373	0	0	0
4.056	1	6	406	7	1	28	373	0	0	0
4.057	1	6	406	8	1	28	373	0	0	0
4.058	1	6	406	9	1	28	373	0	0	0
4.059	1	6	406	10	1	28	373	0	0	0
4.06	1	6	407	1	1	28	373	0	0	0
4.061	1	6	407	2	1	28	373	0	0	0
4.062	1	6	407	3	1	28	373	0	0	0
4.063	1	6	407	4	1	28	373	0	0	0
4.064	1	6	407	5	1	28	373	0	0	0
4.065	1	6	407	6	1	28	373	0	0	0
4.066	1	6	407	7	1	28	373	0	0	0
4.067	1	6	407	8	1	28	373	0	0	0
4.068	1	6	407	9	1	28	373	0	0	0
4.069	1	6	407	10	1	28	373	0	0	0
4.07	1	6	408	1	1	28	373	0	0	0
4.071	1	6	408	2	1	28	373	0	0	0
4.072	1	6	408	3	1	28	373	0	0	0
4.073	1	6	408	4	1	28	373	0	0	0
4.074	1	6	408	5	1	28	373	0	0	0
4.075	1	6	408	6	1	28	373	0	0	0
4.076	1	6	408	7	1	28	373	0	0	0
4.077	1	6	408	8	1	28	373	0	0	0
4.078	1	6	408	9	1	28	373	0	0	0
4.079	1	6	408	10	1	28	373	0	0	0
4.08	1	6	409	1	1	28	373	0	0	0
4.081	1	6	409	2	1	28	373	0	0	0
4.082	1	6	409	3	1	28	373	0	0	0
4.083	1	6	409	4	1	28	373	0	0	0
4.084	1	6	409	5	1	28	373	0	0	0
4.085	1	6	409	6	1	28	373	0	0	0
4.086	1	6	409	7	1	28	373	0	0	0
4.087	1	6	409	8	1	28	373	0	0	0
4.088	1	6	409	9	1	28	373	0	0	0
4.089	1	6	409	10	1	28	373	0	0	0
4.09	1	6	410	1	1	28	373	0	0	0
4.091	1	6	410	2	1	28	373	0	0	0
4.092	1	6	410	3	1	28	373	0	0	0
4.093	1	6	410	4	1	28	373	0	0	0
4.094	1	6	410	5	1	28	373	0	0	0
4.095	1	6	410	6	1	28	373	0	0	0
4.096	1	6	410	7	1	28	373	0	0	0
4.097	1	6	410	8	1	28	373	0	0	0
4.098	1	6	410	9	1	28	373	0	0	0
4.099	1	6	410	10	1	28	373	0	0	0
4.1	1	6	411	1	1	28	373	0	0	0
4.101	1	6	411	2	1	28	373	0	0	0
4.102	1	6	411	3	1	28	373	0	0	0
4.103	1	6	411	4	1	28	373	0	0	0
4.104	1	6	411	5	1	28	373	0	0	0
4.105	1	6	411	6	1	28	373	0	0	0
4.106	1	6	411	7	1	28	373	0	0	0
4.107	1	6	411	8	1	28	373	0	0	0
4.108	1	6	411	9	1	28	373	0	0	0
4.109	1	6	411	10	1	28	373	0	0	0
4.11	1	6	412	1	1	28	373	0	0	0
4.111	1	6	412	2	1	28	373	0	0	0
4.112	1	6	412	3	1	28	373	0	0	0
4.113	1	6	412	4	1	28	373	0	0	0
4.114	1	6	412	5	1	28	373	0	0	0
4.115	1	6	412	6	1	28	373	0	0	0
4.116	1	6	412	7	1	28	373	0	0	0
4.117	1	6	412	8	1	28	373	0	0	0
4.118	1	6	412	9	1	28	373	0	0	0
4.119	1	6	412	10	1	28	373	0	0	0
4.12	1	6	413	1	1	28	373	0	0	0
4.121	1	6	413	2	1	28	373	0	0	0
4.122	1	6	413	3	1	28	373	0	0	0
4.123	1	6	413	4	1	28	373	0	0	0
4.124	1	6	413	5	1	28	373	0	0	0
4.125	1	6	413	6	1	28	373	0	0	0
4.126	1	6	413	7	1	28	373	0	0	0
4.127	1	6	413	8	1	28	373	0	0	0
4.128	1	6	413	9	1	28	373	0	0	0
4.129	1	6	413	10	1	28	373	0	0	0
4.13	1	6	414	1	1	28	373	0	0	0
4.131	1	6	414	2	1	28	373	0	0	0
4.132	1	6	414	3	1	28	373	0	0	0
4.133	1	6	414	4	1	28	373	0	0	0
4.134	1	6	414	5	1	28	373	0	0	0
4.135	1	6	414	6	1	28	373	0	0	0
4.136	1	6	414	7	1	28	373	0	0	0
4.137	1	6	414	8	1	28	373	0	0	0
4.138	1	6	414	9	1	28	373	0	0	0
4.139	1	6	414	10	1	28	373	0	0	0
4.14	1	6	415	1	1	28	373	0	0	0
4.141	1	6	415	2	1	28	373	0	0	0
4.142	1	6	415	3	1	28	373	0	0	0
4.143	1	6	415	4	1	28	373	0	0	0
4.144	1	6	415	5	1	28	373	0	0	0
4.145	1	6	415	6	1	28	373	0	0	0
4.146	1	6	415	7	1	28	373	0	0	0
4.147	1	6	415	8	1	28	373	0	0	0
4.148	1	6	415	9	1	28	373	0	0	0
4.149	1	6	415	10	1	28	373	0	0	0
4.15	1	6	416	1	1	28	373	0	0	0
4.151	1	6	416	2	1	28	373	0	0	0
4.152	1	6	416	3	1	28	373	0	0	0
4.153	1	6	416	4	1	28	373	0	0	0
4.154	1	6	416	5	1	28	373	0	0	0
4.155	1	6	416	6	1	28	373	0	0	0
4.156	1	6	416	7	1	28	373	0	0	0
4.157	1	6	416	8	1	28	373	0	0	0
4.158	1	6	416	9	1	28	373	0	0	0
4.159	1	6	416	10	1	28	373	0	0	0
4.16	1	6	417	1	1	28	373	0	0	0
4.161	1	6	417	2	1	28	373	0	0	0
4.162	1	6	417	3	1	28	373	0	0	0
4.163	1	6	417	4	1	28	373	0	0	0
4.164	1	6	417	5	1	28	373	0	0	0
4.165	1	6	417	6	1	28	373	0	0	0
4.166	1	6	417	7	1	28	373	0	0	0
4.167	1	6	417	8	1	28	373	0	0	0
4.168	1	6	417	9	1	28	373	0	0	0
4.169	1	6	417	10	1	28	373	0	0	0
4.17	1	6	418	1	1	28	373	0	0	0
4.171	1	6	418	2	1	28	373	0	0	0
4.172	1	6	418	3	1	28	373	0	0	0
4.173	1	6	418	4	1	28	373	0	0	0
4.174	1	6	418	5	1	28	373	0	0	0
4.175	1	6	418	6	1	28	373	0	0	0
4.176	1	6	418	7	1	28	373	0	0	0
4.177	1	6	418	8	1	28	373	0	0	0
4.178	1	6	418	9	1	28	373	0	0	0
4.179	1	6	418	10	1	28	373	0	0	0
4.18	1	6	419	1	1	28	373	0	0	0
4.181	1	6	419	2	1	28	373	0	0	0
4.182	1	6	419	3	1	28	373	0	0	0
4.183	1	6	419	4	1	28	373	0	0	0
4.184	1	6	419	5	1	28	373	0	0	0
4.185	1	6	419	6	1	28	373	0	0	0
4.186	1	6	419	7	1	28	373	0	0	0
4.187	1	6	419	8	1	28	373	0	0	0
4.188	1	6	419	9	1	28	373	0	0	0
4.189	1	6	419	10	1	28	373	0	0	0
4.19	1	6	420	1	1	28	373	0	0	0
4.191	1	6	420	2	1	28	373	0	0	0
4.192	1	6	420	3	1	28	373	0	0	0
4.193	1	6	420	4	1	28	373	0	0	0
4.194	1	6	420	5	1	28	373	0	0	0
