% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
4	1	1	401	1	3	28	749	0	0	0
4.001	1	1	401	2	3	28	749	0	0	0
4.002	1	1	401	3	3	28	749	0	0	0
4.003	1	1	401	4	3	28	749	0	0	0
4.004	1	1	401	5	3	28	749	0	0	0
4.005	1	1	401	6	3	28	749	0	0	0
4.006	1	1	401	7	3	28	749	0	0	0
4.007	1	1	401	8	3	28	749	0	0	0
4.008	1	1	401	9	3	28	749	0	0	0
4.009	1	1	401	10	3	28	749	0	0	0
4.01	1	1	402	1	3	28	749	0	0	0
4.011	1	1	402	2	3	28	749	0	0	0
4.012	1	1	402	3	3	28	749	0	0	0
4.013	1	1	402	4	3	28	749	0	0	0
4.014	1	1	402	5	3	28	749	0	0	0
4.015	1	1	402	6	3	28	749	0	0	0
4.016	1	1	402	7	3	28	749	0	0	0
4.017	1	1	402	8	3	28	749	0	0	0
4.018	1	1	402	9	3	28	749	0	0	0
4.019	1	1	402	10	3	28	749	0	0	0
4.02	1	1	403	1	3	28	749	0	0	0
4.021	1	1	403	2	3	28	749	0	0	0
4.022	1	1	403	3	3	28	749	0	0	0
4.023	1	1	403	4	3	28	749	0	0	0
4.024	1	1	403	5	3	28	749	0	0	0
4.025	1	1	403	6	3	28	749	0	0	0
4.026	1	1	403	7	3	28	749	0	0	0
4.027	1	1	403	8	3	28	749	0	0	0
4.028	1	1	403	9	3	28	749	0	0	0
4.029	1	1	403	10	3	28	749	0	0	0
4.03	1	1	404	1	3	28	749	0	0	0
4.031	1	1	404	2	3	28	749	0	0	0
4.032	1	1	404	3	3	28	749	0	0	0
4.033	1	1	404	4	3	28	749	0	0	0
4.034	1	1	404	5	3	28	749	0	0	0
4.035	1	1	404	6	3	28	749	0	0	0
4.036	1	1	404	7	3	28	749	0	0	0
4.037	1	1	404	8	3	28	749	0	0	0
4.038	1	1	404	9	3	28	749	0	0	0
4.039	1	1	404	10	3	28	749	0	0	0
4.04	1	1	405	1	3	28	749	0	0	0
4.041	1	1	405	2	3	28	749	0	0	0
4.042	1	1	405	3	3	28	749	0	0	0
4.043	1	1	405	4	3	28	749	0	0	0
4.044	1	1	405	5	3	28	749	0	0	0
4.045	1	1	405	6	3	28	749	0	0	0
4.046	1	1	405	7	3	28	749	0	0	0
4.047	1	1	405	8	3	28	749	0	0	0
4.048	1	1	405	9	3	28	749	0	0	0
4.049	1	1	405	10	3	28	749	0	0	0
4.05	1	1	406	1	3	28	749	0	0	0
4.051	1	1	406	2	3	28	749	0	0	0
4.052	1	1	406	3	3	28	749	0	0	0
4.053	1	1	406	4	3	28	749	0	0	0
4.054	1	1	406	5	3	28	749	0	0	0
4.055	1	1	406	6	3	28	749	0	0	0
4.056	1	1	406	7	3	28	749	0	0	0
4.057	1	1	406	8	3	28	749	0	0	0
4.058	1	1	406	9	3	28	749	0	0	0
4.059	1	1	406	10	3	28	749	0	0	0
4.06	1	1	407	1	3	28	749	0	0	0
4.061	1	1	407	2	3	28	749	0	0	0
4.062	1	1	407	3	3	28	749	0	0	0
4.063	1	1	407	4	3	28	749	0	0	0
4.064	1	1	407	5	3	28	749	0	0	0
4.065	1	1	407	6	3	28	749	0	0	0
4.066	1	1	407	7	3	28	749	0	0	0
4.067	1	1	407	8	3	28	749	0	0	0
4.068	1	1	407	9	3	28	749	0	0	0
4.069	1	1	407	10	3	28	749	0	0	0
4.07	1	1	408	1	3	28	749	0	0	0
4.071	1	1	408	2	3	28	749	0	0	0
4.072	1	1	408	3	3	28	749	0	0	0
4.073	1	1	408	4	3	28	749	0	0	0
4.074	1	1	408	5	3	28	749	0	0	0
4.075	1	1	408	6	3	28	749	0	0	0
4.076	1	1	408	7	3	28	749	0	0	0
4.077	1	1	408	8	3	28	749	0	0	0
4.078	1	1	408	9	3	28	749	0	0	0
4.079	1	1	408	10	3	28	749	0	0	0
4.08	1	1	409	1	3	28	749	0	0	0
4.081	1	1	409	2	3	28	749	0	0	0
4.082	1	1	409	3	3	28	749	0	0	0
4.083	1	1	409	4	3	28	749	0	0	0
4.084	1	1	409	5	3	28	749	0	0	0
4.085	1	1	409	6	3	28	749	0	0	0
4.086	1	1	409	7	3	28	749	0	0	0
4.087	1	1	409	8	3	28	749	0	0	0
4.088	1	1	409	9	3	28	749	0	0	0
4.089	1	1	409	10	3	28	749	0	0	0
4.09	1	1	410	1	3	28	749	0	0	0
4.091	1	1	410	2	3	28	749	0	0	0
4.092	1	1	410	3	3	28	749	0	0	0
4.093	1	1	410	4	3	28	749	0	0	0
4.094	1	1	410	5	3	28	749	0	0	0
4.095	1	1	410	6	3	28	749	0	0	0
4.096	1	1	410	7	3	28	749	0	0	0
4.097	1	1	410	8	3	28	749	0	0	0
4.098	1	1	410	9	3	28	749	0	0	0
4.099	1	1	410	10	3	28	749	0	0	0
4.1	1	1	411	1	3	28	749	0	0	0
4.101	1	1	411	2	3	28	749	0	0	0
4.102	1	1	411	3	3	28	749	0	0	0
4.103	1	1	411	4	3	28	749	0	0	0
4.104	1	1	411	5	3	28	749	0	0	0
4.105	1	1	411	6	3	28	749	0	0	0
4.106	1	1	411	7	3	28	749	0	0	0
4.107	1	1	411	8	3	28	749	0	0	0
4.108	1	1	411	9	3	28	749	0	0	0
4.109	1	1	411	10	3	28	749	0	0	0
4.11	1	1	412	1	3	28	749	0	0	0
4.111	1	1	412	2	3	28	749	0	0	0
4.112	1	1	412	3	3	28	749	0	0	0
4.113	1	1	412	4	3	28	749	0	0	0
4.114	1	1	412	5	3	28	749	0	0	0
4.115	1	1	412	6	3	28	749	0	0	0
4.116	1	1	412	7	3	28	749	0	0	0
4.117	1	1	412	8	3	28	749	0	0	0
4.118	1	1	412	9	3	28	749	0	0	0
4.119	1	1	412	10	3	28	749	0	0	0
4.12	1	1	413	1	3	28	749	0	0	0
4.121	1	1	413	2	3	28	749	0	0	0
4.122	1	1	413	3	3	28	749	0	0	0
4.123	1	1	413	4	3	28	749	0	0	0
4.124	1	1	413	5	3	28	749	0	0	0
4.125	1	1	413	6	3	28	749	0	0	0
4.126	1	1	413	7	3	28	749	0	0	0
4.127	1	1	413	8	3	28	749	0	0	0
4.128	1	1	413	9	3	28	749	0	0	0
4.129	1	1	413	10	3	28	749	0	0	0
4.13	1	1	414	1	3	28	749	0	0	0
4.131	1	1	414	2	3	28	749	0	0	0
4.132	1	1	414	3	3	28	749	0	0	0
4.133	1	1	414	4	3	28	749	0	0	0
4.134	1	1	414	5	3	28	749	0	0	0
4.135	1	1	414	6	3	28	749	0	0	0
4.136	1	1	414	7	3	28	749	0	0	0
4.137	1	1	414	8	3	28	749	0	0	0
4.138	1	1	414	9	3	28	749	0	0	0
4.139	1	1	414	10	3	28	749	0	0	0
4.14	1	1	415	1	3	28	749	0	0	0
4.141	1	1	415	2	3	28	749	0	0	0
4.142	1	1	415	3	3	28	749	0	0	0
4.143	1	1	415	4	3	28	749	0	0	0
4.144	1	1	415	5	3	28	749	0	0	0
4.145	1	1	415	6	3	28	749	0	0	0
4.146	1	1	415	7	3	28	749	0	0	0
4.147	1	1	415	8	3	28	749	0	0	0
4.148	1	1	415	9	3	28	749	0	0	0
4.149	1	1	415	10	3	28	749	0	0	0
4.15	1	1	416	1	3	28	749	0	0	0
4.151	1	1	416	2	3	28	749	0	0	0
4.152	1	1	416	3	3	28	749	0	0	0
4.153	1	1	416	4	3	28	749	0	0	0
4.154	1	1	416	5	3	28	749	0	0	0
4.155	1	1	416	6	3	28	749	0	0	0
4.156	1	1	416	7	3	28	749	0	0	0
4.157	1	1	416	8	3	28	749	0	0	0
4.158	1	1	416	9	3	28	749	0	0	0
4.159	1	1	416	10	3	28	749	0	0	0
4.16	1	1	417	1	3	28	749	0	0	0
4.161	1	1	417	2	3	28	749	0	0	0
4.162	1	1	417	3	3	28	749	0	0	0
4.163	1	1	417	4	3	28	749	0	0	0
4.164	1	1	417	5	3	28	749	0	0	0
4.165	1	1	417	6	3	28	749	0	0	0
4.166	1	1	417	7	3	28	749	0	0	0
4.167	1	1	417	8	3	28	749	0	0	0
4.168	1	1	417	9	3	28	749	0	0	0
4.169	1	1	417	10	3	28	749	0	0	0
4.17	1	1	418	1	3	28	749	0	0	0
4.171	1	1	418	2	3	28	749	0	0	0
4.172	1	1	418	3	3	28	749	0	0	0
4.173	1	1	418	4	3	28	749	0	0	0
4.174	1	1	418	5	3	28	749	0	0	0
4.175	1	1	418	6	3	28	749	0	0	0
4.176	1	1	418	7	3	28	749	0	0	0
4.177	1	1	418	8	3	28	749	0	0	0
4.178	1	1	418	9	3	28	749	0	0	0
4.179	1	1	418	10	3	28	749	0	0	0
4.18	1	1	419	1	3	28	749	0	0	0
4.181	1	1	419	2	3	28	749	0	0	0
4.182	1	1	419	3	3	28	749	0	0	0
4.183	1	1	419	4	3	28	749	0	0	0
4.184	1	1	419	5	3	28	749	0	0	0
4.185	1	1	419	6	3	28	749	0	0	0
4.186	1	1	419	7	3	28	749	0	0	0
4.187	1	1	419	8	3	28	749	0	0	0
4.188	1	1	419	9	3	28	749	0	0	0
4.189	1	1	419	10	3	28	749	0	0	0
4.19	1	1	420	1	3	28	749	0	0	0
4.191	1	1	420	2	3	28	749	0	0	0
4.192	1	1	420	3	3	28	749	0	0	0
4.193	1	1	420	4	3	28	749	0	0	0
4.194	1	1	420	5	3	28	749	0	0	0
4.195	1	1	420	6	3	28	749	0	0	0
4.196	1	1	420	7	3	28	749	0	0	0
4.197	1	1	420	8	3	28	749	0	0	0
4.198	1	1	420	9	3	28	749	0	0	0
4.199	1	1	420	10	3	28	749	0	0	0
4.2	1	1	421	1	3	28	749	0	0	0
4.201	1	1	421	2	3	28	749	0	0	0
4.202	1	1	421	3	3	28	749	0	0	0
4.203	1	1	421	4	3	28	749	0	0	0
4.204	1	1	421	5	3	28	749	0	0	0
4.205	1	1	421	6	3	28	749	0	0	0
4.206	1	1	421	7	3	28	749	0	0	0
4.207	1	1	421	8	3	28	749	0	0	0
4.208	1	1	421	9	3	28	749	0	0	0
4.209	1	1	421	10	3	28	749	0	0	0
4.21	1	1	422	1	3	28	749	0	0	0
4.211	1	1	422	2	3	28	749	0	0	0
4.212	1	1	422	3	3	28	749	0	0	0
4.213	1	1	422	4	3	28	749	0	0	0
4.214	1	1	422	5	3	28	749	0	0	0
4.215	1	1	422	6	3	28	749	0	0	0
4.216	1	1	422	7	3	28	749	0	0	0
4.217	1	1	422	8	3	28	749	0	0	0
4.218	1	1	422	9	3	28	749	0	0	0
4.219	1	1	422	10	3	28	749	0	0	0
4.22	1	1	423	1	3	28	749	0	0	0
4.221	1	1	423	2	3	28	749	0	0	0
4.222	1	1	423	3	3	28	749	0	0	0
4.223	1	1	423	4	3	28	749	0	0	0
4.224	1	1	423	5	3	28	749	0	0	0
4.225	1	1	423	6	3	28	749	0	0	0
4.226	1	1	423	7	3	28	749	0	0	0
4.227	1	1	423	8	3	28	749	0	0	0
4.228	1	1	423	9	3	28	749	0	0	0
4.229	1	1	423	10	3	28	749	0	0	0
4.23	1	1	424	1	3	28	749	0	0	0
4.231	1	1	424	2	3	28	749	0	0	0
4.232	1	1	424	3	3	28	749	0	0	0
4.233	1	1	424	4	3	28	749	0	0	0
4.234	1	1	424	5	3	28	749	0	0	0
4.235	1	1	424	6	3	28	749	0	0	0
4.236	1	1	424	7	3	28	749	0	0	0
4.237	1	1	424	8	3	28	749	0	0	0
4.238	1	1	424	9	3	28	749	0	0	0
4.239	1	1	424	10	3	28	749	0	0	0
4.24	1	1	425	1	3	28	749	0	0	0
4.241	1	1	425	2	3	28	749	0	0	0
4.242	1	1	425	3	3	28	749	0	0	0
4.243	1	1	425	4	3	28	749	0	0	0
4.244	1	1	425	5	3	28	749	0	0	0
4.245	1	1	425	6	3	28	749	0	0	0
4.246	1	1	425	7	3	28	749	0	0	0
4.247	1	1	425	8	3	28	749	0	0	0
4.248	1	1	425	9	3	28	749	0	0	0
4.249	1	1	425	10	3	28	749	0	0	0
