% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	46	52004	46	0.049595	0.003	0	0.003	0.003	1130.52	191.061	41	1479	
0	0.25	1	2	2	3	46	8942	46	0.008528	0.003	0	0.003	0.003	194.391	29.4931	41	209	
0	0.25	1	3	1	3	183	24131	176	0.022125	0.003	0	0.003	0.003	131.818	7.77181	81	133	
0.25	0.5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
0.25	0.5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
0.25	0.5	1	3	1	3	200	26600	198	0.025114	0.003	0	0.003	0.003	133	0	133	133	
0.5	0.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
0.5	0.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
0.5	0.75	1	3	1	3	200	26600	197	0.024987	0.003	0	0.003	0.003	133	0	133	133	
0.75	1	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
0.75	1	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
0.75	1	1	3	1	3	200	26600	199	0.025241	0.003	0	0.003	0.003	133	0	133	133	
1	1.25	1	1	3	3	50	57630	50	0.054960	0.003	0	0.003	0.003	1152.6	88.8787	1095	1287	
1	1.25	1	2	2	3	50	9910	50	0.009451	0.003	0	0.003	0.003	198.2	16.6648	173	209	
1	1.25	1	3	1	3	200	26600	199	0.025241	0.003	0	0.003	0.003	133	0	133	133	
1.25	1.5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1.25	1.5	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1.25	1.5	1	3	1	3	200	26600	200	0.025368	0.003	0	0.003	0.003	133	0	133	133	
1.5	1.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1.5	1.75	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1.5	1.75	1	3	1	3	200	26600	196	0.024860	0.003	0	0.003	0.003	133	0	133	133	
1.75	2	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1.75	2	1	2	2	3	50	9946	50	0.009485	0.003	0	0.003	0.003	198.92	16.3281	173	209	
1.75	2	1	3	1	3	200	26600	199	0.025241	0.003	0	0.003	0.003	133	0	133	133	
