% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	46	52004	46	0.049595	0.003	0	0.003	0.003	1130.52	191.061	41	1479	
0.25	0.5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
0.5	0.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
0.75	1	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1	1.25	1	1	3	3	50	57630	50	0.054960	0.003	0	0.003	0.003	1152.6	88.8787	1095	1287	
1.25	1.5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1.5	1.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
1.75	2	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
2	2.25	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
2.25	2.5	1	1	3	3	51	58533	51	0.055821	0.003	0	0.003	0.003	1147.71	86.5358	1095	1287	
2.5	2.75	1	1	3	3	50	57630	50	0.054960	0.003	0	0.003	0.003	1152.6	88.8787	1095	1287	
2.75	3	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
3	3.25	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
3.25	3.5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
3.5	3.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
3.75	4	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
4	4.25	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
4.25	4.5	1	1	3	3	50	57630	50	0.054960	0.003	0	0.003	0.003	1152.6	88.8787	1095	1287	
4.5	4.75	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
4.75	5	1	1	3	3	50	57438	50	0.054777	0.003	0	0.003	0.003	1148.76	87.083	1095	1287	
