% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	3	1	3	45	2613	44	0.002430	0.003	0	0.003	0.003	57.9091	6.50516	41	65	
0.25	0.5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
0.5	0.75	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
0.75	1	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
1	1.25	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
1.25	1.5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
1.5	1.75	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
1.75	2	1	3	1	3	50	2914	49	0.002717	0.003	0	0.003	0.003	58.1429	6	53	65	
2	2.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
2.25	2.5	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
2.5	2.75	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
2.75	3	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
3	3.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
3.25	3.5	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
3.5	3.75	1	3	1	3	50	2914	49	0.002728	0.003	0	0.003	0.003	58.3878	6.03053	53	65	
3.75	4	1	3	1	3	50	2926	49	0.002740	0.003	0	0.003	0.003	58.6327	6.05081	53	65	
4	4.25	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
4.25	4.5	1	3	1	3	50	2926	48	0.002678	0.003	0	0.003	0.003	58.5	6.0424	53	65	
4.5	4.75	1	3	1	3	50	2914	50	0.002779	0.003	0	0.003	0.003	58.28	6.01712	53	65	
4.75	5	1	3	1	3	50	2926	50	0.002790	0.003	0	0.003	0.003	58.52	6.04149	53	65	
