% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	183	393408	181	0.370995	0.003	0	0.003	0.003	2149.26	311.782	81	2196	
0	0.25	1	2	2	3	46	10002	46	0.009539	0.003	0	0.003	0.003	217.435	35.8588	41	349	
0	0.25	1	3	1	3	46	2767	44	0.002526	0.003	0	0.003	0.003	60.2045	8.54694	22	65	
0.25	0.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.25	0.5	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
0.25	0.5	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
0.5	0.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.5	0.75	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
0.5	0.75	1	3	1	3	50	3082	50	0.002939	0.003	0	0.003	0.003	61.64	5.44269	53	65	
0.75	1	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
0.75	1	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
0.75	1	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
1	1.25	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1	1.25	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
1	1.25	1	3	1	3	50	3082	49	0.002889	0.003	0	0.003	0.003	61.8163	5.35286	53	65	
1.25	1.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1.25	1.5	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
1.25	1.5	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
1.5	1.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1.5	1.75	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
1.5	1.75	1	3	1	3	50	3082	49	0.002889	0.003	0	0.003	0.003	61.8163	5.35286	53	65	
1.75	2	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
1.75	2	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
1.75	2	1	3	1	3	50	3070	49	0.002866	0.003	0	0.003	0.003	61.3265	5.58789	53	65	
2	2.25	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
2	2.25	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
2	2.25	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
2.25	2.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
2.25	2.5	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
2.25	2.5	1	3	1	3	50	3082	49	0.002889	0.003	0	0.003	0.003	61.8163	5.35286	53	65	
2.5	2.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
2.5	2.75	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
2.5	2.75	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
2.75	3	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
2.75	3	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
2.75	3	1	3	1	3	50	3082	50	0.002939	0.003	0	0.003	0.003	61.64	5.44269	53	65	
3	3.25	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
3	3.25	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
3	3.25	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
3.25	3.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
3.25	3.5	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
3.25	3.5	1	3	1	3	50	3070	49	0.002866	0.003	0	0.003	0.003	61.3265	5.58789	53	65	
3.5	3.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
3.5	3.75	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
3.5	3.75	1	3	1	3	50	3082	49	0.002889	0.003	0	0.003	0.003	61.8163	5.35286	53	65	
3.75	4	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
3.75	4	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
3.75	4	1	3	1	3	50	3070	49	0.002866	0.003	0	0.003	0.003	61.3265	5.58789	53	65	
4	4.25	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
4	4.25	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
4	4.25	1	3	1	3	50	3082	50	0.002939	0.003	0	0.003	0.003	61.64	5.44269	53	65	
4.25	4.5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
4.25	4.5	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
4.25	4.5	1	3	1	3	50	3070	48	0.002815	0.003	0	0.003	0.003	61.5	5.51208	53	65	
4.5	4.75	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
4.5	4.75	1	2	2	3	50	10898	50	0.010393	0.003	0	0.003	0.003	217.96	14.5138	209	241	
4.5	4.75	1	3	1	3	50	3082	50	0.002939	0.003	0	0.003	0.003	61.64	5.44269	53	65	
4.75	5	1	1	3	3	200	439200	200	0.418854	0.003	0	0.003	0.003	2196	0	2196	2196	
4.75	5	1	2	2	3	50	10930	50	0.010424	0.003	0	0.003	0.003	218.6	14.8131	209	241	
4.75	5	1	3	1	3	50	3070	50	0.002928	0.003	0	0.003	0.003	61.4	5.55492	53	65	
