% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	1	3	3	128	167524	127	0.158150	0.003	0	0.003	0.003	1305.76	333.756	26	2196	
0	0.25	1	2	2	3	101	161363	100	0.152477	0.003	0	0.003	0.003	1598.84	286.71	935	2196	
0	0.25	1	3	1	3	211	168597	209	0.159549	0.003	0	0.003	0.003	800.474	201.457	41	1287	
0.25	0.5	1	1	3	3	125	185481	125	0.177275	0.003	0	0.003	0.003	1487.09	159.688	1287	1692	
0.25	0.5	1	2	2	3	125	185907	125	0.177092	0.003	0	0.003	0.003	1485.55	160.687	1287	1692	
0.25	0.5	1	3	1	3	250	186158	250	0.177357	0.003	0	0.003	0.003	743.888	152.323	549	935	
0.5	0.75	1	1	3	3	125	185352	125	0.176765	0.003	0	0.003	0.003	1482.82	176.945	1287	1836	
0.5	0.75	1	2	2	3	125	185664	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
0.5	0.75	1	3	1	3	250	186352	250	0.177528	0.003	0	0.003	0.003	744.608	176.676	185	935	
0.75	1	1	1	3	3	125	185661	125	0.176877	0.003	0	0.003	0.003	1483.75	183.264	1287	1836	
0.75	1	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
0.75	1	1	3	1	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
1	1.25	1	1	3	3	125	185469	125	0.176674	0.003	0	0.003	0.003	1482.05	182.3	1287	1836	
1	1.25	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
1	1.25	1	3	1	3	250	186358	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
1.25	1.5	1	1	3	3	125	185448	125	0.177060	0.003	0	0.003	0.003	1485.29	182.404	1287	1836	
1.25	1.5	1	2	2	3	125	185709	125	0.177106	0.003	0	0.003	0.003	1485.67	183.197	1287	2052	
1.25	1.5	1	3	1	3	250	186164	250	0.177349	0.003	0	0.003	0.003	743.856	176.254	185	935	
1.5	1.75	1	1	3	3	125	185469	125	0.177060	0.003	0	0.003	0.003	1485.29	182.404	1287	1836	
1.5	1.75	1	2	2	3	125	185877	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
1.5	1.75	1	3	1	3	250	185972	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
1.75	2	1	1	3	3	125	185661	125	0.176674	0.003	0	0.003	0.003	1482.05	182.3	1287	1836	
1.75	2	1	2	2	3	125	185472	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
1.75	2	1	3	1	3	250	186172	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
2	2.25	1	1	3	3	125	185112	125	0.176923	0.003	0	0.003	0.003	1484.14	180.617	1287	1836	
2	2.25	1	2	2	3	125	185877	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
2	2.25	1	3	1	3	250	186348	250	0.177347	0.003	0	0.003	0.003	743.848	178.645	185	935	
2.25	2.5	1	1	3	3	125	185709	125	0.176923	0.003	0	0.003	0.003	1484.14	180.617	1287	1836	
2.25	2.5	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
2.25	2.5	1	3	1	3	250	185962	250	0.177715	0.003	0	0.003	0.003	745.392	178.622	185	935	
2.5	2.75	1	1	3	3	125	185469	125	0.176674	0.003	0	0.003	0.003	1482.05	182.3	1287	1836	
2.5	2.75	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
2.5	2.75	1	3	1	3	250	186358	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
2.75	3	1	1	3	3	125	185256	125	0.177060	0.003	0	0.003	0.003	1485.29	182.404	1287	1836	
2.75	3	1	2	2	3	125	185877	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
2.75	3	1	3	1	3	250	186172	250	0.177357	0.003	0	0.003	0.003	743.888	180.168	185	935	
3	3.25	1	1	3	3	125	185661	125	0.176877	0.003	0	0.003	0.003	1483.75	183.264	1287	1836	
3	3.25	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
3	3.25	1	3	1	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
3.25	3.5	1	1	3	3	125	185661	125	0.176857	0.003	0	0.003	0.003	1483.58	181.45	1287	1836	
3.25	3.5	1	2	2	3	125	185496	125	0.177106	0.003	0	0.003	0.003	1485.67	183.197	1287	2052	
3.25	3.5	1	3	1	3	250	186164	250	0.177540	0.003	0	0.003	0.003	744.656	175.819	185	935	
3.5	3.75	1	1	3	3	125	185256	125	0.176877	0.003	0	0.003	0.003	1483.75	183.264	1287	1836	
3.5	3.75	1	2	2	3	125	185685	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
3.5	3.75	1	3	1	3	250	186358	250	0.177357	0.003	0	0.003	0.003	743.888	180.168	185	935	
3.75	4	1	1	3	3	125	185469	125	0.177060	0.003	0	0.003	0.003	1485.29	182.404	1287	1836	
3.75	4	1	2	2	3	125	185877	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
3.75	4	1	3	1	3	250	185972	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
4	4.25	1	1	3	3	125	185517	125	0.176537	0.003	0	0.003	0.003	1480.9	180.491	1287	1836	
4	4.25	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
4	4.25	1	3	1	3	250	186348	250	0.177715	0.003	0	0.003	0.003	745.392	178.622	185	935	
4.25	4.5	1	1	3	3	125	185304	125	0.177106	0.003	0	0.003	0.003	1485.67	179.742	1287	1836	
4.25	4.5	1	2	2	3	125	185877	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
4.25	4.5	1	3	1	3	250	186162	250	0.177347	0.003	0	0.003	0.003	743.848	178.645	185	935	
4.5	4.75	1	1	3	3	125	185661	125	0.176877	0.003	0	0.003	0.003	1483.75	183.264	1287	1836	
4.5	4.75	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
4.5	4.75	1	3	1	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
4.75	5	1	1	3	3	125	185469	125	0.176674	0.003	0	0.003	0.003	1482.05	182.3	1287	1836	
4.75	5	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
4.75	5	1	3	1	3	250	186358	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
