% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	2	2	3	101	161363	100	0.152477	0.003	0	0.003	0.003	1598.84	286.71	935	2196	
0.25	0.5	1	2	2	3	125	185907	125	0.177092	0.003	0	0.003	0.003	1485.55	160.687	1287	1692	
0.5	0.75	1	2	2	3	125	185664	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
0.75	1	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
1	1.25	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
1.25	1.5	1	2	2	3	125	185709	125	0.177106	0.003	0	0.003	0.003	1485.67	183.197	1287	2052	
1.5	1.75	1	2	2	3	125	185877	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
1.75	2	1	2	2	3	125	185472	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
2	2.25	1	2	2	3	125	185877	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
2.25	2.5	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
2.5	2.75	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
2.75	3	1	2	2	3	125	185877	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
3	3.25	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
3.25	3.5	1	2	2	3	125	185496	125	0.177106	0.003	0	0.003	0.003	1485.67	183.197	1287	2052	
3.5	3.75	1	2	2	3	125	185685	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
3.75	4	1	2	2	3	125	185877	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
4	4.25	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
4.25	4.5	1	2	2	3	125	185877	125	0.177083	0.003	0	0.003	0.003	1485.48	190.894	1287	2052	
4.5	4.75	1	2	2	3	125	185685	125	0.176880	0.003	0	0.003	0.003	1483.78	189.984	1287	2052	
4.75	5	1	2	2	3	125	185472	125	0.177266	0.003	0	0.003	0.003	1487.02	190.054	1287	2052	
