% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	2	2	3	212	169028	210	0.159592	0.003	0	0.003	0.003	796.876	224.563	41	1287	
0.25	0.5	1	2	2	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	152.296	549	935	
0.5	0.75	1	2	2	3	250	186162	250	0.177706	0.003	0	0.003	0.003	745.352	177.086	185	935	
0.75	1	1	2	2	3	250	186348	250	0.177179	0.003	0	0.003	0.003	743.144	179.759	185	935	
1	1.25	1	2	2	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
1.25	1.5	1	2	2	3	250	186358	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
1.5	1.75	1	2	2	3	250	186172	250	0.177179	0.003	0	0.003	0.003	743.144	179.759	185	935	
1.75	2	1	2	2	3	250	185964	250	0.177717	0.003	0	0.003	0.003	745.4	176.23	185	935	
2	2.25	1	2	2	3	250	186172	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
2.25	2.5	1	2	2	3	250	186534	250	0.177347	0.003	0	0.003	0.003	743.848	178.645	185	935	
2.5	2.75	1	2	2	3	250	185786	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
2.75	3	1	2	2	3	250	186348	250	0.177715	0.003	0	0.003	0.003	745.392	178.622	185	935	
3	3.25	1	2	2	3	250	186172	250	0.177357	0.003	0	0.003	0.003	743.888	180.168	185	935	
3.25	3.5	1	2	2	3	250	185972	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
3.5	3.75	1	2	2	3	250	186350	250	0.177540	0.003	0	0.003	0.003	744.656	175.819	185	935	
3.75	4	1	2	2	3	250	186172	250	0.177357	0.003	0	0.003	0.003	743.888	180.168	185	935	
4	4.25	1	2	2	3	250	185972	250	0.177547	0.003	0	0.003	0.003	744.688	179.742	185	935	
4.25	4.5	1	2	2	3	250	186172	250	0.177893	0.003	0	0.003	0.003	746.136	179.024	185	935	
4.5	4.75	1	2	2	3	250	186524	250	0.177170	0.003	0	0.003	0.003	743.104	178.232	185	935	
4.75	5	1	2	2	3	250	185786	250	0.177725	0.003	0	0.003	0.003	745.432	180.145	185	935	
