% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes		delay	stdDev	min	max	PduSize	stdDev	min	max	
0	0.25	1	2	2	3	227	166408	225	0.157270	0.003	0	0.003	0.003	732.933	106.812	26	749	
0.25	0.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.5	0.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
0.75	1	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1	1.25	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.25	1.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.5	1.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
1.75	2	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2	2.25	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.25	2.5	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.5	2.75	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
2.75	3	1	2	2	3	250	187250	250	0.178576	0.003	0	0.003	0.003	749	0	749	749	
3	3.25	1	2	2	3	239	186532	240	0.178428	0.003	0	0.003	0.003	779.562	159.001	549	1692	
3.25	3.5	1	2	2	3	168	186788	168	0.177413	0.003	0	0.003	0.003	1107.33	397.749	549	1692	
3.5	3.75	1	2	2	3	168	185081	168	0.176507	0.003	0	0.003	0.003	1101.67	394.716	549	1692	
3.75	4	1	2	2	3	166	186360	166	0.178113	0.003	0	0.003	0.003	1125.09	396.089	549	1692	
4	4.25	1	2	2	3	168	185625	167	0.176838	0.003	0	0.003	0.003	1110.35	394.403	549	1692	
4.25	4.5	1	2	2	3	166	186008	166	0.177391	0.003	0	0.003	0.003	1120.53	393.874	549	1692	
4.5	4.75	1	2	2	3	166	185822	166	0.177023	0.003	0	0.003	0.003	1118.2	396.109	549	1692	
4.75	5	1	2	2	3	166	185622	166	0.177214	0.003	0	0.003	0.003	1119.41	394.668	549	1692	
