% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.026	1	5	3	7	8	0	11	0	0	0
0.027	1	5	3	8	8	0	11	0	0	0
0.028	1	5	3	9	8	0	11	0	0	0
0.029	1	5	3	10	8	0	11	0	0	0
0.03	1	5	4	1	8	0	11	0	0	0
0.031	1	5	4	2	8	28	373	0	0	0
0.032	1	5	4	3	8	28	373	0	0	0
0.033	1	5	4	4	8	28	373	0	0	0
0.034	1	5	4	5	8	28	373	0	0	0
0.035	1	5	4	6	8	28	373	0	0	0
0.036	1	5	4	7	8	28	373	0	0	0
0.037	1	5	4	8	8	28	373	0	0	0
0.038	1	5	4	9	8	28	373	0	0	0
0.039	1	5	4	10	8	28	373	0	0	0
0.04	1	5	5	1	8	28	373	0	0	0
0.041	1	5	5	2	8	28	373	0	0	0
0.042	1	5	5	3	8	28	373	0	0	0
0.043	1	5	5	4	8	28	373	0	0	0
0.044	1	5	5	5	8	28	373	0	0	0
0.045	1	5	5	6	8	28	373	0	0	0
0.046	1	5	5	7	8	28	373	0	0	0
0.047	1	5	5	8	8	28	373	0	0	0
0.048	1	5	5	9	8	28	373	0	0	0
0.049	1	5	5	10	8	28	373	0	0	0
0.05	1	5	6	1	8	28	373	0	0	0
0.051	1	5	6	2	8	28	373	0	0	0
0.052	1	5	6	3	8	28	373	0	0	0
0.053	1	5	6	4	8	28	373	0	0	0
0.054	1	5	6	5	8	28	373	0	0	0
0.055	1	5	6	6	8	28	373	0	0	0
0.056	1	5	6	7	8	28	373	0	0	0
0.057	1	5	6	8	8	28	373	0	0	0
0.058	1	5	6	9	8	28	373	0	0	0
0.059	1	5	6	10	8	28	373	0	0	0
0.06	1	5	7	1	8	28	373	0	0	0
0.061	1	5	7	2	8	28	373	0	0	0
0.062	1	5	7	3	8	28	373	0	0	0
0.063	1	5	7	4	8	28	373	0	0	0
0.064	1	5	7	5	8	28	373	0	0	0
0.065	1	5	7	6	8	28	373	0	0	0
0.066	1	5	7	7	8	28	373	0	0	0
0.067	1	5	7	8	8	28	373	0	0	0
0.068	1	5	7	9	8	28	373	0	0	0
0.069	1	5	7	10	8	28	373	0	0	0
0.07	1	5	8	1	8	28	373	0	0	0
0.071	1	5	8	2	8	28	373	0	0	0
0.072	1	5	8	3	8	28	373	0	0	0
0.073	1	5	8	4	8	28	373	0	0	0
0.074	1	5	8	5	8	28	373	0	0	0
0.075	1	5	8	6	8	28	373	0	0	0
0.076	1	5	8	7	8	28	373	0	0	0
0.077	1	5	8	8	8	28	373	0	0	0
0.078	1	5	8	9	8	28	373	0	0	0
