% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.018	1	0	2	9	2	0	41	0	0	0
0.018	1	0	2	9	3	0	41	0	0	0
0.019	1	0	2	10	1	0	61	0	0	0
0.019	1	0	2	10	3	0	19	0	0	0
0.02	1	0	3	1	2	0	47	0	0	0
0.02	1	0	3	1	3	0	32	0	0	0
0.021	1	0	3	2	2	0	41	0	0	0
0.021	1	0	3	2	3	0	41	0	0	0
0.022	1	0	3	3	2	0	41	0	0	0
0.022	1	0	3	3	3	0	41	0	0	0
0.023	1	0	3	4	2	0	41	0	0	0
0.023	1	0	3	4	3	0	41	0	0	0
0.024	1	0	3	5	2	0	41	0	0	0
0.024	1	0	3	5	3	0	41	0	0	0
0.025	1	0	3	6	2	0	41	0	0	0
0.025	1	0	3	6	3	0	41	0	0	0
0.026	1	0	3	7	1	28	1287	0	0	0
0.026	1	0	3	7	2	28	935	0	0	0
0.027	1	0	3	8	1	28	2196	0	0	0
0.028	1	0	3	9	2	28	2196	0	0	0
0.029	1	0	3	10	1	28	1095	0	0	0
0.029	1	0	3	10	2	28	1095	0	0	0
0.03	1	0	4	1	3	28	2196	0	0	0
0.031	1	0	4	2	2	28	185	0	0	0
0.031	1	0	4	2	3	28	2052	0	0	0
0.032	1	0	4	3	2	28	1095	0	0	0
0.032	1	0	4	3	3	28	1095	0	0	0
0.033	1	0	4	4	2	28	1095	0	0	0
0.033	1	0	4	4	3	28	1095	0	0	0
0.034	1	0	4	5	2	28	1095	0	0	0
0.034	1	0	4	5	3	28	1095	0	0	0
0.035	1	0	4	6	2	28	1095	0	0	0
0.035	1	0	4	6	3	28	1095	0	0	0
0.036	1	0	4	7	2	28	1095	0	0	0
0.036	1	0	4	7	3	28	1095	0	0	0
0.037	1	0	4	8	2	28	1095	0	0	0
0.037	1	0	4	8	3	28	1095	0	0	0
0.038	1	0	4	9	1	28	2196	0	0	0
0.039	1	0	4	10	1	28	2196	0	0	0
0.04	1	0	5	1	1	28	2196	0	0	0
0.041	1	0	5	2	1	28	935	0	0	0
0.041	1	0	5	2	2	28	1287	0	0	0
0.042	1	0	5	3	2	28	549	0	0	0
0.042	1	0	5	3	3	28	1692	0	0	0
0.043	1	0	5	4	2	28	935	0	0	0
0.043	1	0	5	4	3	28	1287	0	0	0
0.044	1	0	5	5	2	28	1287	0	0	0
0.044	1	0	5	5	3	28	935	0	0	0
0.045	1	0	5	6	2	28	935	0	0	0
0.045	1	0	5	6	3	28	1287	0	0	0
0.046	1	0	5	7	2	28	1287	0	0	0
0.046	1	0	5	7	3	28	935	0	0	0
0.047	1	0	5	8	2	28	935	0	0	0
0.047	1	0	5	8	3	28	1287	0	0	0
0.048	1	0	5	9	2	28	1287	0	0	0
0.048	1	0	5	9	3	28	935	0	0	0
0.049	1	0	5	10	2	28	935	0	0	0
0.049	1	0	5	10	3	28	1287	0	0	0
0.05	1	0	6	1	1	28	2196	0	0	0
0.051	1	0	6	2	1	28	2196	0	0	0
0.052	1	0	6	3	1	28	2196	0	0	0
0.053	1	0	6	4	1	28	1692	0	0	0
0.053	1	0	6	4	2	28	549	0	0	0
0.054	1	0	6	5	2	28	935	0	0	0
0.054	1	0	6	5	3	28	1287	0	0	0
0.055	1	0	6	6	2	28	1095	0	0	0
0.055	1	0	6	6	3	28	1095	0	0	0
0.056	1	0	6	7	2	28	1095	0	0	0
0.056	1	0	6	7	3	28	1095	0	0	0
0.057	1	0	6	8	2	28	1095	0	0	0
0.057	1	0	6	8	3	28	1095	0	0	0
0.058	1	0	6	9	2	28	1095	0	0	0
0.058	1	0	6	9	3	28	1095	0	0	0
0.059	1	0	6	10	2	28	1095	0	0	0
0.059	1	0	6	10	3	28	1095	0	0	0
0.06	1	0	7	1	2	28	1095	0	0	0
0.06	1	0	7	1	3	28	1095	0	0	0
0.061	1	0	7	2	2	28	1095	0	0	0
0.061	1	0	7	2	3	28	1095	0	0	0
0.062	1	0	7	3	1	28	2196	0	0	0
0.063	1	0	7	4	1	28	2196	0	0	0
0.064	1	0	7	5	1	28	2196	0	0	0
0.065	1	0	7	6	1	28	2052	0	0	0
0.065	1	0	7	6	2	28	185	0	0	0
0.066	1	0	7	7	2	28	935	0	0	0
0.066	1	0	7	7	3	28	1287	0	0	0
0.067	1	0	7	8	1	28	1479	0	0	0
0.067	1	0	7	8	3	28	749	0	0	0
0.068	1	0	7	9	2	28	1479	0	0	0
0.068	1	0	7	9	3	28	749	0	0	0
0.069	1	0	7	10	1	28	1479	0	0	0
0.069	1	0	7	10	3	28	749	0	0	0
0.07	1	0	8	1	2	28	1479	0	0	0
0.07	1	0	8	1	3	28	749	0	0	0
0.071	1	0	8	2	1	28	1479	0	0	0
0.071	1	0	8	2	3	28	749	0	0	0
0.072	1	0	8	3	2	28	1479	0	0	0
0.072	1	0	8	3	3	28	749	0	0	0
0.073	1	0	8	4	1	28	1479	0	0	0
0.073	1	0	8	4	3	28	749	0	0	0
0.074	1	0	8	5	1	28	749	0	0	0
0.074	1	0	8	5	2	28	1479	0	0	0
0.075	1	0	8	6	1	28	1095	0	0	0
0.075	1	0	8	6	2	28	1095	0	0	0
0.076	1	0	8	7	1	28	1095	0	0	0
0.076	1	0	8	7	2	28	1095	0	0	0
0.077	1	0	8	8	1	28	1095	0	0	0
0.077	1	0	8	8	2	28	1095	0	0	0
0.078	1	0	8	9	3	28	2196	0	0	0
0.079	1	0	8	10	1	28	185	0	0	0
0.079	1	0	8	10	3	28	2052	0	0	0
0.08	1	0	9	1	2	28	1287	0	0	0
0.08	1	0	9	1	3	28	935	0	0	0
0.081	1	0	9	2	1	28	1692	0	0	0
0.081	1	0	9	2	3	28	549	0	0	0
0.082	1	0	9	3	2	28	1479	0	0	0
0.082	1	0	9	3	3	28	749	0	0	0
0.083	1	0	9	4	1	28	1479	0	0	0
0.083	1	0	9	4	3	28	749	0	0	0
0.084	1	0	9	5	2	28	1479	0	0	0
0.084	1	0	9	5	3	28	749	0	0	0
0.085	1	0	9	6	1	28	1479	0	0	0
0.085	1	0	9	6	3	28	749	0	0	0
0.086	1	0	9	7	1	28	749	0	0	0
0.086	1	0	9	7	2	28	1479	0	0	0
0.087	1	0	9	8	1	28	1095	0	0	0
0.087	1	0	9	8	2	28	1095	0	0	0
0.088	1	0	9	9	1	28	1095	0	0	0
0.088	1	0	9	9	2	28	1095	0	0	0
0.089	1	0	9	10	1	28	1095	0	0	0
0.089	1	0	9	10	2	28	1095	0	0	0
0.09	1	0	10	1	3	28	2196	0	0	0
0.091	1	0	10	2	1	28	185	0	0	0
0.091	1	0	10	2	3	28	2052	0	0	0
0.092	1	0	10	3	2	28	1287	0	0	0
0.092	1	0	10	3	3	28	935	0	0	0
0.093	1	0	10	4	1	28	1692	0	0	0
0.093	1	0	10	4	3	28	549	0	0	0
0.094	1	0	10	5	2	28	1287	0	0	0
0.094	1	0	10	5	3	28	935	0	0	0
0.095	1	0	10	6	1	28	1479	0	0	0
0.095	1	0	10	6	3	28	749	0	0	0
0.096	1	0	10	7	2	28	1479	0	0	0
0.096	1	0	10	7	3	28	749	0	0	0
0.097	1	0	10	8	1	28	1479	0	0	0
0.097	1	0	10	8	3	28	749	0	0	0
0.098	1	0	10	9	1	28	749	0	0	0
0.098	1	0	10	9	2	28	1479	0	0	0
0.099	1	0	10	10	1	28	1095	0	0	0
0.099	1	0	10	10	2	28	1095	0	0	0
0.1	1	0	11	1	1	28	1095	0	0	0
0.1	1	0	11	1	2	28	1095	0	0	0
0.101	1	0	11	2	1	28	1095	0	0	0
0.101	1	0	11	2	2	28	1095	0	0	0
0.102	1	0	11	3	3	28	2196	0	0	0
0.103	1	0	11	4	1	28	185	0	0	0
0.103	1	0	11	4	3	28	2052	0	0	0
0.104	1	0	11	5	2	28	1287	0	0	0
0.104	1	0	11	5	3	28	935	0	0	0
0.105	1	0	11	6	1	28	1692	0	0	0
0.105	1	0	11	6	3	28	549	0	0	0
0.106	1	0	11	7	2	28	1479	0	0	0
0.106	1	0	11	7	3	28	749	0	0	0
0.107	1	0	11	8	1	28	1479	0	0	0
0.107	1	0	11	8	3	28	749	0	0	0
0.108	1	0	11	9	2	28	1479	0	0	0
0.108	1	0	11	9	3	28	749	0	0	0
0.109	1	0	11	10	1	28	1479	0	0	0
0.109	1	0	11	10	3	28	749	0	0	0
0.11	1	0	12	1	1	28	749	0	0	0
0.11	1	0	12	1	2	28	1479	0	0	0
0.111	1	0	12	2	1	28	1095	0	0	0
0.111	1	0	12	2	2	28	1095	0	0	0
0.112	1	0	12	3	1	28	1095	0	0	0
0.112	1	0	12	3	2	28	1095	0	0	0
0.113	1	0	12	4	1	28	1095	0	0	0
0.113	1	0	12	4	2	28	1095	0	0	0
0.114	1	0	12	5	3	28	2196	0	0	0
0.115	1	0	12	6	3	28	2196	0	0	0
0.116	1	0	12	7	2	28	1287	0	0	0
0.116	1	0	12	7	3	28	935	0	0	0
0.117	1	0	12	8	1	28	2052	0	0	0
0.117	1	0	12	8	3	28	185	0	0	0
0.118	1	0	12	9	2	28	1287	0	0	0
0.118	1	0	12	9	3	28	935	0	0	0
0.119	1	0	12	10	1	28	1479	0	0	0
0.119	1	0	12	10	3	28	749	0	0	0
0.12	1	0	13	1	2	28	1479	0	0	0
0.12	1	0	13	1	3	28	749	0	0	0
0.121	1	0	13	2	1	28	1479	0	0	0
0.121	1	0	13	2	3	28	749	0	0	0
0.122	1	0	13	3	1	28	749	0	0	0
0.122	1	0	13	3	2	28	1479	0	0	0
0.123	1	0	13	4	1	28	1095	0	0	0
0.123	1	0	13	4	2	28	1095	0	0	0
0.124	1	0	13	5	1	28	1095	0	0	0
0.124	1	0	13	5	2	28	1095	0	0	0
0.125	1	0	13	6	1	28	1095	0	0	0
0.125	1	0	13	6	2	28	1095	0	0	0
0.126	1	0	13	7	3	28	2196	0	0	0
0.127	1	0	13	8	3	28	2196	0	0	0
0.128	1	0	13	9	2	28	1287	0	0	0
0.128	1	0	13	9	3	28	935	0	0	0
0.129	1	0	13	10	1	28	1836	0	0	0
0.129	1	0	13	10	3	28	373	0	0	0
0.13	1	0	14	1	2	28	1287	0	0	0
0.13	1	0	14	1	3	28	935	0	0	0
0.131	1	0	14	2	1	28	1479	0	0	0
