% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	0	3	7	1	0	19	0
0.026	1	0	3	7	2	0	19	0
0.026	1	0	3	7	3	0	19	0
0.026	1	0	3	7	4	0	19	0
0.027	1	0	3	8	1	0	19	0
0.027	1	0	3	8	2	0	19	0
0.027	1	0	3	8	3	0	19	0
0.027	1	0	3	8	4	0	19	0
0.028	1	0	3	9	1	0	19	0
0.028	1	0	3	9	2	0	19	0
0.028	1	0	3	9	3	0	19	0
0.028	1	0	3	9	4	0	19	0
0.029	1	0	3	10	1	0	19	0
0.029	1	0	3	10	2	0	19	0
0.03	1	0	4	1	3	0	19	0
0.03	1	0	4	1	4	0	19	0
0.03	1	0	4	1	1	0	19	0
0.03	1	0	4	1	2	0	19	0
0.031	1	0	4	2	3	0	7	0
0.031	1	0	4	2	4	0	7	0
0.031	1	0	4	2	9	0	7	0
0.031	1	0	4	2	10	0	7	0
0.031	1	0	4	2	11	0	7	0
0.031	1	0	4	2	12	0	7	0
0.031	1	0	4	2	1	0	7	0
0.031	1	0	4	2	2	0	7	0
0.032	1	0	4	3	3	0	7	0
0.032	1	0	4	3	4	0	7	0
0.032	1	0	4	3	9	0	7	0
0.032	1	0	4	3	10	0	7	0
0.032	1	0	4	3	11	0	7	0
0.032	1	0	4	3	12	0	7	0
0.032	1	0	4	3	1	0	7	0
0.032	1	0	4	3	2	0	7	0
0.033	1	0	4	4	3	0	7	0
0.033	1	0	4	4	4	0	7	0
0.033	1	0	4	4	9	0	7	0
0.033	1	0	4	4	10	0	7	0
0.033	1	0	4	4	11	0	7	0
0.033	1	0	4	4	12	0	7	0
0.033	1	0	4	4	1	0	7	0
0.033	1	0	4	4	2	0	7	0
0.034	1	0	4	5	3	0	7	0
0.034	1	0	4	5	4	0	7	0
0.034	1	0	4	5	9	0	7	0
0.034	1	0	4	5	10	0	7	0
0.034	1	0	4	5	11	0	7	0
0.034	1	0	4	5	12	0	7	0
0.034	1	0	4	5	1	0	7	0
0.034	1	0	4	5	2	0	7	0
0.035	1	0	4	6	3	0	7	0
0.035	1	0	4	6	4	0	7	0
0.035	1	0	4	6	9	0	7	0
0.035	1	0	4	6	10	0	7	0
0.035	1	0	4	6	11	0	7	0
0.035	1	0	4	6	12	0	7	0
0.035	1	0	4	6	1	0	7	0
0.035	1	0	4	6	2	0	7	0
0.036	1	0	4	7	3	0	7	0
0.036	1	0	4	7	4	0	7	0
0.036	1	0	4	7	9	0	7	0
0.036	1	0	4	7	10	0	7	0
0.036	1	0	4	7	11	0	7	0
0.036	1	0	4	7	12	0	7	0
0.036	1	0	4	7	1	0	7	0
0.036	1	0	4	7	2	0	7	0
0.037	1	0	4	8	3	0	7	0
0.037	1	0	4	8	4	0	7	0
0.037	1	0	4	8	9	0	7	0
0.037	1	0	4	8	10	0	7	0
0.037	1	0	4	8	11	0	7	0
0.037	1	0	4	8	12	0	7	0
0.037	1	0	4	8	15	0	7	0
0.037	1	0	4	8	16	0	7	0
0.038	1	0	4	9	1	0	7	0
0.038	1	0	4	9	2	0	7	0
0.038	1	0	4	9	3	0	7	0
0.038	1	0	4	9	4	0	7	0
0.038	1	0	4	9	9	0	7	0
0.038	1	0	4	9	10	0	7	0
0.038	1	0	4	9	11	0	7	0
0.038	1	0	4	9	12	0	7	0
0.039	1	0	4	10	15	0	7	0
0.039	1	0	4	10	16	0	7	0
0.039	1	0	4	10	1	0	7	0
0.039	1	0	4	10	2	0	7	0
0.039	1	0	4	10	3	0	7	0
0.039	1	0	4	10	4	0	7	0
0.039	1	0	4	10	9	0	7	0
0.039	1	0	4	10	10	0	7	0
0.04	1	0	5	1	11	0	7	0
0.04	1	0	5	1	12	0	7	0
0.04	1	0	5	1	15	0	7	0
0.04	1	0	5	1	16	0	7	0
0.04	1	0	5	1	1	0	7	0
0.04	1	0	5	1	2	0	7	0
0.04	1	0	5	1	3	0	7	0
0.04	1	0	5	1	4	0	7	0
0.041	1	0	5	2	9	0	7	0
0.041	1	0	5	2	10	0	7	0
0.041	1	0	5	2	11	0	7	0
0.041	1	0	5	2	12	0	7	0
0.041	1	0	5	2	15	0	7	0
0.041	1	0	5	2	16	0	7	0
0.041	1	0	5	2	2	0	7	0
0.042	1	0	5	3	3	0	7	0
0.042	1	0	5	3	4	0	7	0
0.042	1	0	5	3	9	0	7	0
0.042	1	0	5	3	10	0	7	0
0.042	1	0	5	3	11	0	7	0
0.042	1	0	5	3	12	0	7	0
0.042	1	0	5	3	15	0	7	0
0.042	1	0	5	3	16	0	7	0
0.043	1	0	5	4	2	2	18	0
0.043	1	0	5	4	3	2	18	0
0.043	1	0	5	4	4	0	7	0
0.043	1	0	5	4	9	0	7	0
0.043	1	0	5	4	10	0	7	0
0.043	1	0	5	4	11	0	7	0
0.043	1	0	5	4	12	0	7	0
0.044	1	0	5	5	15	0	7	0
0.044	1	0	5	5	16	0	7	0
0.044	1	0	5	5	2	2	18	0
0.044	1	0	5	5	3	2	18	0
0.044	1	0	5	5	9	0	7	0
0.044	1	0	5	5	10	0	7	0
0.045	1	0	5	6	11	0	7	0
0.045	1	0	5	6	12	0	7	0
0.045	1	0	5	6	15	0	7	0
0.045	1	0	5	6	16	0	7	0
0.045	1	0	5	6	2	2	18	0
0.045	1	0	5	6	3	2	18	0
0.046	1	0	5	7	9	0	7	0
0.046	1	0	5	7	10	0	7	0
0.046	1	0	5	7	11	0	7	0
0.046	1	0	5	7	12	0	7	0
0.046	1	0	5	7	15	0	7	0
0.046	1	0	5	7	16	0	7	0
0.046	1	0	5	7	2	2	18	0
0.047	1	0	5	8	3	2	18	0
0.047	1	0	5	8	9	0	7	0
0.047	1	0	5	8	10	0	7	0
0.047	1	0	5	8	11	0	7	0
0.047	1	0	5	8	12	0	7	0
0.047	1	0	5	8	15	0	7	0
0.047	1	0	5	8	16	0	7	0
0.048	1	0	5	9	2	2	18	0
0.048	1	0	5	9	3	2	18	0
0.048	1	0	5	9	9	0	7	0
0.048	1	0	5	9	10	0	7	0
0.048	1	0	5	9	11	0	7	0
0.048	1	0	5	9	12	0	7	0
0.049	1	0	5	10	15	0	7	0
0.049	1	0	5	10	16	0	7	0
0.049	1	0	5	10	2	2	18	0
0.049	1	0	5	10	3	2	18	0
0.049	1	0	5	10	10	0	7	0
0.05	1	0	6	1	11	0	7	0
0.05	1	0	6	1	12	0	7	0
0.05	1	0	6	1	15	0	7	0
0.05	1	0	6	1	16	0	7	0
0.05	1	0	6	1	2	2	18	0
0.05	1	0	6	1	3	2	18	0
0.051	1	0	6	2	10	4	26	0
0.051	1	0	6	2	12	0	7	0
0.051	1	0	6	2	15	0	7	0
0.051	1	0	6	2	16	0	7	0
0.051	1	0	6	2	2	2	18	0
0.052	1	0	6	3	3	2	18	0
0.052	1	0	6	3	10	4	26	0
0.052	1	0	6	3	12	8	49	0
0.052	1	0	6	3	15	0	7	0
0.052	1	0	6	3	16	0	7	0
