% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	6	1	0.526255	0
0.042	1	3	2	1.34721	0
0.043	1	4	3	1.34721	0
0.044	1	9	4	0.373189	0
0.049	1	7	9	0.494844	0
0.05	1	2	10	2.39505	0
0.051	1	10	11	0.354297	0
0.052	1	1	12	5.38885	0
0.055	1	5	15	0.862216	0
0.056	1	8	16	0.439906	0
0.081	1	6	1	0.526255	0
0.082	1	3	2	1.34721	0
0.083	1	4	3	1.34721	0
0.084	1	9	4	0.373189	0
0.089	1	7	9	0.494844	0
0.09	1	2	10	2.39505	0
0.091	1	10	11	0.354297	0
0.092	1	1	12	5.38885	0
0.095	1	5	15	0.862216	0
0.096	1	8	16	0.439906	0
0.121	1	6	1	0.526255	0
0.122	1	3	2	1.34721	0
0.123	1	4	3	1.34721	0
0.124	1	9	4	0.373189	0
0.129	1	7	9	0.494844	0
0.13	1	2	10	2.39505	0
0.131	1	10	11	0.354297	0
0.132	1	1	12	5.38885	0
0.135	1	5	15	0.862216	0
0.136	1	8	16	0.439906	0
0.161	1	6	1	0.526255	0
0.162	1	3	2	1.34721	0
0.163	1	4	3	1.34721	0
0.164	1	9	4	0.373189	0
0.169	1	7	9	0.494844	0
0.17	1	2	10	2.39505	0
0.171	1	10	11	0.354297	0
0.172	1	1	12	5.38885	0
0.175	1	5	15	0.862216	0
0.176	1	8	16	0.439906	0
0.201	1	6	1	0.526255	0
0.202	1	3	2	1.34721	0
0.203	1	4	3	1.34721	0
0.204	1	9	4	0.373189	0
0.209	1	7	9	0.494844	0
0.21	1	2	10	2.39505	0
0.211	1	10	11	0.354297	0
0.212	1	1	12	5.38885	0
0.215	1	5	15	0.862216	0
0.216	1	8	16	0.439906	0
0.241	1	6	1	0.526255	0
0.242	1	3	2	1.34721	0
0.243	1	4	3	1.34721	0
0.244	1	9	4	0.373189	0
0.249	1	7	9	0.494844	0
0.25	1	2	10	2.39505	0
0.251	1	10	11	0.354297	0
0.252	1	1	12	5.38885	0
0.255	1	5	15	0.862216	0
0.256	1	8	16	0.439906	0
0.281	1	6	1	0.526255	0
0.282	1	3	2	1.34721	0
0.283	1	4	3	1.34721	0
0.284	1	9	4	0.373189	0
0.289	1	7	9	0.494844	0
0.29	1	2	10	2.39505	0
0.291	1	10	11	0.354297	0
0.292	1	1	12	5.38885	0
0.295	1	5	15	0.862216	0
0.296	1	8	16	0.439906	0
0.321	1	6	1	0.526255	0
0.322	1	3	2	1.34721	0
0.323	1	4	3	1.34721	0
0.324	1	9	4	0.373189	0
0.329	1	7	9	0.494844	0
0.33	1	2	10	2.39505	0
0.331	1	10	11	0.354297	0
0.332	1	1	12	5.38885	0
0.335	1	5	15	0.862216	0
0.336	1	8	16	0.439906	0
0.361	1	6	1	0.526255	0
0.362	1	3	2	1.34721	0
0.363	1	4	3	1.34721	0
0.364	1	9	4	0.373189	0
0.369	1	7	9	0.494844	0
0.37	1	2	10	2.39505	0
