% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.018	1	0	2	9	5	0	19	0	0	0
0.018	1	0	2	9	6	0	19	0	0	0
0.018	1	0	2	9	7	0	19	0	0	0
0.018	1	0	2	9	8	0	19	0	0	0
0.019	1	0	2	10	1	0	19	0	0	0
0.019	1	0	2	10	2	0	19	0	0	0
0.019	1	0	2	10	3	0	19	0	0	0
0.019	1	0	2	10	4	0	19	0	0	0
0.02	1	0	3	1	5	0	19	0	0	0
0.02	1	0	3	1	6	0	19	0	0	0
0.02	1	0	3	1	7	0	19	0	0	0
0.02	1	0	3	1	8	0	19	0	0	0
0.021	1	0	3	2	5	0	19	0	0	0
0.021	1	0	3	2	6	0	19	0	0	0
0.021	1	0	3	2	7	0	19	0	0	0
0.021	1	0	3	2	8	0	19	0	0	0
0.022	1	0	3	3	5	0	19	0	0	0
0.022	1	0	3	3	6	0	19	0	0	0
0.022	1	0	3	3	7	0	19	0	0	0
0.022	1	0	3	3	8	0	19	0	0	0
0.023	1	0	3	4	11	0	19	0	0	0
0.023	1	0	3	4	12	0	19	0	0	0
0.023	1	0	3	4	13	0	19	0	0	0
0.023	1	0	3	4	14	0	19	0	0	0
0.024	1	0	3	5	9	0	26	0	0	0
0.024	1	0	3	5	10	0	26	0	0	0
0.024	1	0	3	5	13	0	11	0	0	0
0.024	1	0	3	5	14	0	11	0	0	0
0.025	1	0	3	6	11	0	41	0	0	0
0.025	1	0	3	6	12	0	41	0	0	0
0.026	1	0	3	7	13	0	41	0	0	0
0.026	1	0	3	7	14	0	41	0	0	0
0.027	1	0	3	8	7	0	19	0	0	0
0.027	1	0	3	8	8	0	11	0	0	0
0.027	1	0	3	8	11	0	26	0	0	0
0.027	1	0	3	8	14	0	19	0	0	0
0.028	1	0	3	9	5	0	19	0	0	0
0.028	1	0	3	9	6	0	19	0	0	0
0.028	1	0	3	9	8	0	11	0	0	0
0.028	1	0	3	9	13	0	26	0	0	0
0.029	1	0	3	10	15	0	41	0	0	0
0.029	1	0	3	10	16	0	41	0	0	0
0.03	1	0	4	1	15	0	41	0	0	0
0.03	1	0	4	1	16	0	34	0	0	0
0.031	1	0	4	2	5	0	19	0	0	0
0.031	1	0	4	2	8	0	19	0	0	0
0.031	1	0	4	2	13	0	19	0	0	0
0.031	1	0	4	2	14	0	19	0	0	0
0.032	1	0	4	3	5	0	11	0	0	0
0.032	1	0	4	3	6	0	26	0	0	0
0.032	1	0	4	3	7	0	26	0	0	0
0.032	1	0	4	3	14	0	11	0	0	0
0.033	1	0	4	4	11	4	217	0	0	0
0.034	1	0	4	5	11	4	105	0	0	0
0.034	1	0	4	5	16	0	41	0	0	0
0.035	1	0	4	6	11	4	69	0	0	0
0.035	1	0	4	6	13	0	19	0	0	0
0.035	1	0	4	6	14	0	19	0	0	0
0.035	1	0	4	6	16	0	11	0	0	0
0.036	1	0	4	7	11	4	69	0	0	0
0.036	1	0	4	7	13	0	19	0	0	0
0.036	1	0	4	7	14	0	11	0	0	0
0.036	1	0	4	7	16	0	19	0	0	0
0.037	1	0	4	8	16	4	217	0	0	0
0.038	1	0	4	9	12	12	349	0	0	0
0.038	1	0	4	9	15	6	129	0	0	0
0.039	1	0	4	10	12	12	349	0	0	0
0.039	1	0	4	10	15	6	129	0	0	0
0.04	1	0	5	1	12	12	301	0	0	0
0.04	1	0	5	1	15	6	153	0	0	0
0.041	1	0	5	2	11	6	64	0	0	0
0.041	1	0	5	2	12	12	149	0	0	0
0.041	1	0	5	2	15	6	75	0	0	0
0.041	1	0	5	2	16	4	51	0	0	0
0.042	1	0	5	3	11	6	75	0	0	0
0.042	1	0	5	3	12	12	201	0	0	0
0.042	1	0	5	3	15	6	75	0	0	0
0.042	1	0	5	3	16	4	32	0	0	0
0.043	1	0	5	4	11	6	75	0	0	0
0.043	1	0	5	4	12	12	149	0	0	0
0.043	1	0	5	4	15	6	75	0	0	0
0.043	1	0	5	4	16	4	51	0	0	0
0.044	1	0	5	5	11	6	75	0	0	0
0.044	1	0	5	5	12	12	149	0	0	0
0.044	1	0	5	5	15	6	75	0	0	0
0.044	1	0	5	5	16	4	51	0	0	0
0.045	1	0	5	6	11	6	75	0	0	0
0.045	1	0	5	6	12	12	149	0	0	0
0.045	1	0	5	6	15	6	75	0	0	0
0.045	1	0	5	6	16	4	51	0	0	0
0.046	1	0	5	7	11	6	75	0	0	0
0.046	1	0	5	7	12	12	149	0	0	0
0.046	1	0	5	7	15	6	75	0	0	0
0.046	1	0	5	7	16	4	51	0	0	0
0.047	1	0	5	8	11	6	75	0	0	0
0.047	1	0	5	8	12	12	149	0	0	0
0.047	1	0	5	8	15	6	75	0	0	0
0.047	1	0	5	8	16	4	51	0	0	0
0.048	1	0	5	9	11	6	64	0	0	0
0.048	1	0	5	9	1	2	9	0	0	0
0.048	1	0	5	9	2	8	101	0	0	0
0.048	1	0	5	9	3	8	101	0	0	0
0.048	1	0	5	9	4	4	32	0	0	0
0.049	1	0	5	10	9	4	105	0	0	0
0.049	1	0	5	10	10	8	209	0	0	0
0.05	1	0	6	1	2	8	137	0	0	0
0.05	1	0	6	1	3	8	137	0	0	0
0.05	1	0	6	1	4	4	69	0	0	0
0.051	1	0	6	2	1	2	87	0	0	0
0.051	1	0	6	2	10	8	137	0	0	0
0.052	1	0	6	3	3	8	137	0	0	0
0.052	1	0	6	3	4	4	69	0	0	0
0.052	1	0	6	3	9	4	69	0	0	0
0.053	1	0	6	4	11	6	75	0	0	0
0.053	1	0	6	4	12	12	149	0	0	0
0.053	1	0	6	4	15	6	75	0	0	0
0.053	1	0	6	4	16	4	51	0	0	0
0.054	1	0	6	5	1	2	22	0	0	0
0.054	1	0	6	5	2	8	209	0	0	0
0.054	1	0	6	5	9	4	15	0	0	0
0.054	1	0	6	5	10	8	101	0	0	0
0.055	1	0	6	6	3	8	209	0	0	0
0.055	1	0	6	6	4	4	105	0	0	0
0.056	1	0	6	7	2	8	137	0	0	0
0.056	1	0	6	7	9	4	69	0	0	0
0.056	1	0	6	7	10	8	137	0	0	0
0.057	1	0	6	8	1	2	87	0	0	0
0.057	1	0	6	8	4	4	69	0	0	0
0.058	1	0	6	9	3	8	137	0	0	0
0.058	1	0	6	9	9	4	69	0	0	0
0.058	1	0	6	9	10	8	137	0	0	0
0.059	1	0	6	10	2	8	277	0	0	0
0.059	1	0	6	10	4	4	69	0	0	0
0.06	1	0	7	1	1	2	32	0	0	0
0.06	1	0	7	1	9	4	69	0	0	0
0.06	1	0	7	1	10	8	173	0	0	0
0.061	1	0	7	2	11	6	49	0	0	0
0.061	1	0	7	2	12	12	201	0	0	0
0.061	1	0	7	2	15	6	75	0	0	0
0.061	1	0	7	2	16	4	51	0	0	0
0.062	1	0	7	3	2	8	101	0	0	0
0.062	1	0	7	3	3	8	241	0	0	0
0.062	1	0	7	3	4	4	32	0	0	0
0.063	1	0	7	4	1	2	41	0	0	0
0.063	1	0	7	4	9	4	69	0	0	0
0.063	1	0	7	4	10	8	137	0	0	0
0.064	1	0	7	5	11	6	26	0	0	0
0.064	1	0	7	5	12	12	149	0	0	0
0.064	1	0	7	5	15	6	75	0	0	0
0.064	1	0	7	5	16	4	69	0	0	0
0.065	1	0	7	6	2	8	137	0	0	0
0.065	1	0	7	6	3	8	137	0	0	0
0.065	1	0	7	6	4	4	69	0	0	0
0.066	1	0	7	7	1	2	41	0	0	0
0.066	1	0	7	7	9	4	69	0	0	0
0.066	1	0	7	7	10	8	137	0	0	0
0.067	1	0	7	8	11	6	75	0	0	0
0.067	1	0	7	8	12	12	149	0	0	0
0.067	1	0	7	8	15	6	75	0	0	0
0.067	1	0	7	8	16	4	51	0	0	0
0.068	1	0	7	9	2	8	137	0	0	0
0.068	1	0	7	9	3	8	137	0	0	0
0.068	1	0	7	9	4	4	69	0	0	0
0.069	1	0	7	10	1	2	41	0	0	0
0.069	1	0	7	10	9	4	69	0	0	0
0.069	1	0	7	10	10	8	137	0	0	0
0.07	1	0	8	1	11	6	75	0	0	0
0.07	1	0	8	1	12	12	201	0	0	0
0.07	1	0	8	1	15	6	75	0	0	0
0.07	1	0	8	1	16	4	32	0	0	0
0.071	1	0	8	2	2	8	137	0	0	0
0.071	1	0	8	2	3	8	137	0	0	0
0.071	1	0	8	2	4	4	69	0	0	0
0.072	1	0	8	3	1	2	41	0	0	0
0.072	1	0	8	3	9	4	69	0	0	0
0.072	1	0	8	3	10	8	137	0	0	0
0.073	1	0	8	4	11	6	75	0	0	0
0.073	1	0	8	4	12	12	149	0	0	0
0.073	1	0	8	4	15	6	75	0	0	0
0.073	1	0	8	4	16	4	51	0	0	0
0.074	1	0	8	5	11	6	75	0	0	0
0.074	1	0	8	5	2	8	101	0	0	0
0.074	1	0	8	5	3	8	101	0	0	0
0.074	1	0	8	5	4	4	32	0	0	0
0.074	1	0	8	5	10	8	32	0	0	0
0.075	1	0	8	6	1	2	65	0	0	0
0.075	1	0	8	6	9	4	105	0	0	0
0.076	1	0	8	7	10	8	349	0	0	0
0.076	1	0	8	7	11	6	49	0	0	0
0.077	1	0	8	8	11	6	75	0	0	0
0.077	1	0	8	8	2	8	101	0	0	0
0.077	1	0	8	8	3	8	101	0	0	0
0.077	1	0	8	8	4	4	51	0	0	0
0.078	1	0	8	9	1	2	53	0	0	0
0.078	1	0	8	9	9	4	87	0	0	0
0.078	1	0	8	9	11	6	22	0	0	0
0.078	1	0	8	9	15	6	22	0	0	0
0.079	1	0	8	10	10	8	101	0	0	0
0.079	1	0	8	10	11	6	53	0	0	0
0.079	1	0	8	10	12	12	149	0	0	0
0.079	1	0	8	10	16	4	51	0	0	0
0.08	1	0	9	1	2	8	137	0	0	0
0.08	1	0	9	1	3	8	137	0	0	0
0.08	1	0	9	1	4	4	69	0	0	0
0.081	1	0	9	2	1	2	32	0	0	0
0.081	1	0	9	2	9	4	51	0	0	0
0.081	1	0	9	2	11	6	49	0	0	0
0.081	1	0	9	2	15	6	101	0	0	0
0.082	1	0	9	3	10	8	137	0	0	0
0.082	1	0	9	3	11	6	26	0	0	0
0.082	1	0	9	3	12	12	149	0	0	0
0.082	1	0	9	3	16	4	51	0	0	0
0.083	1	0	9	4	2	8	137	0	0	0
0.083	1	0	9	4	3	8	137	0	0	0
0.083	1	0	9	4	4	4	69	0	0	0
0.084	1	0	9	5	1	2	32	0	0	0
0.084	1	0	9	5	9	4	69	0	0	0
0.084	1	0	9	5	11	6	49	0	0	0
0.084	1	0	9	5	15	6	75	0	0	0
0.085	1	0	9	6	10	8	101	0	0	0
0.085	1	0	9	6	11	6	26	0	0	0
0.085	1	0	9	6	12	12	149	0	0	0
0.085	1	0	9	6	16	4	69	0	0	0
0.086	1	0	9	7	11	6	53	0	0	0
0.086	1	0	9	7	2	8	101	0	0	0
0.086	1	0	9	7	3	8	101	0	0	0
0.086	1	0	9	7	4	4	51	0	0	0
0.087	1	0	9	8	1	2	41	0	0	0
0.087	1	0	9	8	9	4	51	0	0	0
0.087	1	0	9	8	11	6	75	0	0	0
0.087	1	0	9	8	16	4	32	0	0	0
